issue number,date,number,place1,place2,place3,day of week,year,month,day,,,,,,,,,,,,,,,
139,1996/3/22,356,3,5,6,Friday,1996,3,22,,,,,,,,,,,,,,,
140,1996/3/26,54,0,5,4,Tuesday,1996,3,26,,,,,,,,,,,,,,,
141,1996/3/29,783,7,8,3,Friday,1996,3,29,,,,,,,,,,,,,,,
142,1996/4/2,77,0,7,7,Tuesday,1996,4,2,,,,,,,,,,,,,,,
143,1996/4/5,694,6,9,4,Friday,1996,4,5,,,,,,,,,,,,,,,
144,1996/4/9,594,5,9,4,Tuesday,1996,4,9,,,,,,,,,,,,,,,
145,1996/4/12,125,1,2,5,Friday,1996,4,12,,,,,,,,,,,,,,,
146,1996/4/16,766,7,6,6,Tuesday,1996,4,16,,,,,,,,,,,,,,,
147,1996/4/19,464,4,6,4,Friday,1996,4,19,,,,,,,,,,,,,,,
148,1996/4/23,489,4,8,9,Tuesday,1996,4,23,,,,,,,,,,,,,,,
149,1996/4/26,3,0,0,3,Friday,1996,4,26,,,,,,,,,,,,,,,
150,1996/4/30,538,5,3,8,Tuesday,1996,4,30,,,,,,,,,,,,,,,
151,1996/5/3,332,3,3,2,Friday,1996,5,3,,,,,,,,,,,,,,,
152,1996/5/7,224,2,2,4,Tuesday,1996,5,7,,,,,,,,,,,,,,,
153,1996/5/10,750,7,5,0,Friday,1996,5,10,,,,,,,,,,,,,,,
154,1996/5/14,791,7,9,1,Tuesday,1996,5,14,,,,,,,,,,,,,,,
155,1996/5/17,126,1,2,6,Friday,1996,5,17,,,,,,,,,,,,,,,
156,1996/5/21,991,9,9,1,Tuesday,1996,5,21,,,,,,,,,,,,,,,
157,1996/5/24,570,5,7,0,Friday,1996,5,24,,,,,,,,,,,,,,,
158,1996/5/28,604,6,0,4,Tuesday,1996,5,28,,,,,,,,,,,,,,,
159,1996/5/31,259,2,5,9,Friday,1996,5,31,,,,,,,,,,,,,,,
160,1996/6/4,839,8,3,9,Tuesday,1996,6,4,,,,,,,,,,,,,,,
161,1996/6/7,284,2,8,4,Friday,1996,6,7,,,,,,,,,,,,,,,
162,1996/6/11,516,5,1,6,Tuesday,1996,6,11,,,,,,,,,,,,,,,
163,1996/6/14,648,6,4,8,Friday,1996,6,14,,,,,,,,,,,,,,,
164,1996/6/18,198,1,9,8,Tuesday,1996,6,18,,,,,,,,,,,,,,,
165,1996/6/21,563,5,6,3,Friday,1996,6,21,,,,,,,,,,,,,,,
166,1996/6/25,331,3,3,1,Tuesday,1996,6,25,,,,,,,,,,,,,,,
167,1996/6/28,233,2,3,3,Friday,1996,6,28,,,,,,,,,,,,,,,
168,1996/7/2,107,1,0,7,Tuesday,1996,7,2,,,,,,,,,,,,,,,
169,1996/7/5,351,3,5,1,Friday,1996,7,5,,,,,,,,,,,,,,,
170,1996/7/9,574,5,7,4,Tuesday,1996,7,9,,,,,,,,,,,,,,,
171,1996/7/12,679,6,7,9,Friday,1996,7,12,,,,,,,,,,,,,,,
172,1996/7/16,355,3,5,5,Tuesday,1996,7,16,,,,,,,,,,,,,,,
173,1996/7/19,581,5,8,1,Friday,1996,7,19,,,,,,,,,,,,,,,
174,1996/7/23,967,9,6,7,Tuesday,1996,7,23,,,,,,,,,,,,,,,
175,1996/7/26,683,6,8,3,Friday,1996,7,26,,,,,,,,,,,,,,,
176,1996/7/30,203,2,0,3,Tuesday,1996,7,30,,,,,,,,,,,,,,,
177,1996/8/2,845,8,4,5,Friday,1996,8,2,,,,,,,,,,,,,,,
178,1996/8/6,464,4,6,4,Tuesday,1996,8,6,,,,,,,,,,,,,,,
179,1996/8/9,168,1,6,8,Friday,1996,8,9,,,,,,,,,,,,,,,
180,1996/8/13,632,6,3,2,Tuesday,1996,8,13,,,,,,,,,,,,,,,
181,1996/8/16,890,8,9,0,Friday,1996,8,16,,,,,,,,,,,,,,,
182,1996/8/20,439,4,3,9,Tuesday,1996,8,20,,,,,,,,,,,,,,,
183,1996/8/23,589,5,8,9,Friday,1996,8,23,,,,,,,,,,,,,,,
184,1996/8/27,492,4,9,2,Tuesday,1996,8,27,,,,,,,,,,,,,,,
185,1996/8/30,882,8,8,2,Friday,1996,8,30,,,,,,,,,,,,,,,
186,1996/9/3,439,4,3,9,Tuesday,1996,9,3,,,,,,,,,,,,,,,
187,1996/9/6,975,9,7,5,Friday,1996,9,6,,,,,,,,,,,,,,,
188,1996/9/10,254,2,5,4,Tuesday,1996,9,10,,,,,,,,,,,,,,,
189,1996/9/13,199,1,9,9,Friday,1996,9,13,,,,,,,,,,,,,,,
190,1996/9/17,170,1,7,0,Tuesday,1996,9,17,,,,,,,,,,,,,,,
191,1996/9/20,424,4,2,4,Friday,1996,9,20,,,,,,,,,,,,,,,
192,1996/9/24,21,0,2,1,Tuesday,1996,9,24,,,,,,,,,,,,,,,
193,1996/9/27,656,6,5,6,Friday,1996,9,27,,,,,,,,,,,,,,,
194,1996/10/1,812,8,1,2,Tuesday,1996,10,1,,,,,,,,,,,,,,,
195,1996/10/4,819,8,1,9,Friday,1996,10,4,,,,,,,,,,,,,,,
196,1996/10/8,907,9,0,7,Tuesday,1996,10,8,,,,,,,,,,,,,,,
197,1996/10/11,728,7,2,8,Friday,1996,10,11,,,,,,,,,,,,,,,
198,1996/10/15,374,3,7,4,Tuesday,1996,10,15,,,,,,,,,,,,,,,
199,1996/10/18,269,2,6,9,Friday,1996,10,18,,,,,,,,,,,,,,,
200,1996/10/22,411,4,1,1,Tuesday,1996,10,22,,,,,,,,,,,,,,,
201,1996/10/25,176,1,7,6,Friday,1996,10,25,,,,,,,,,,,,,,,
202,1996/10/29,676,6,7,6,Tuesday,1996,10,29,,,,,,,,,,,,,,,
203,1996/11/1,93,0,9,3,Friday,1996,11,1,,,,,,,,,,,,,,,
204,1996/11/5,211,2,1,1,Tuesday,1996,11,5,,,,,,,,,,,,,,,
205,1996/11/8,531,5,3,1,Friday,1996,11,8,,,,,,,,,,,,,,,
206,1996/11/12,938,9,3,8,Tuesday,1996,11,12,,,,,,,,,,,,,,,
207,1996/11/15,413,4,1,3,Friday,1996,11,15,,,,,,,,,,,,,,,
208,1996/11/19,781,7,8,1,Tuesday,1996,11,19,,,,,,,,,,,,,,,
209,1996/11/22,920,9,2,0,Friday,1996,11,22,,,,,,,,,,,,,,,
210,1996/11/26,192,1,9,2,Tuesday,1996,11,26,,,,,,,,,,,,,,,
211,1996/11/29,22,0,2,2,Friday,1996,11,29,,,,,,,,,,,,,,,
212,1996/12/3,151,1,5,1,Tuesday,1996,12,3,,,,,,,,,,,,,,,
213,1996/12/6,502,5,0,2,Friday,1996,12,6,,,,,,,,,,,,,,,
214,1996/12/10,870,8,7,0,Tuesday,1996,12,10,,,,,,,,,,,,,,,
215,1996/12/13,215,2,1,5,Friday,1996,12,13,,,,,,,,,,,,,,,
216,1996/12/17,337,3,3,7,Tuesday,1996,12,17,,,,,,,,,,,,,,,
217,1996/12/20,712,7,1,2,Friday,1996,12,20,,,,,,,,,,,,,,,
218,1996/12/24,594,5,9,4,Tuesday,1996,12,24,,,,,,,,,,,,,,,
219,1996/12/27,260,2,6,0,Friday,1996,12,27,,,,,,,,,,,,,,,
220,1997/1/7,112,1,1,2,Tuesday,1997,1,7,,,,,,,,,,,,,,,
221,1997/1/10,514,5,1,4,Friday,1997,1,10,,,,,,,,,,,,,,,
222,1997/1/14,227,2,2,7,Tuesday,1997,1,14,,,,,,,,,,,,,,,
223,1997/1/17,333,3,3,3,Friday,1997,1,17,,,,,,,,,,,,,,,
224,1997/1/21,466,4,6,6,Tuesday,1997,1,21,,,,,,,,,,,,,,,
225,1997/1/24,751,7,5,1,Friday,1997,1,24,,,,,,,,,,,,,,,
226,1997/1/28,952,9,5,2,Tuesday,1997,1,28,,,,,,,,,,,,,,,
227,1997/1/31,188,1,8,8,Friday,1997,1,31,,,,,,,,,,,,,,,
228,1997/2/4,14,0,1,4,Tuesday,1997,2,4,,,,,,,,,,,,,,,
229,1997/2/7,409,4,0,9,Friday,1997,2,7,,,,,,,,,,,,,,,
230,1997/2/11,383,3,8,3,Tuesday,1997,2,11,,,,,,,,,,,,,,,
231,1997/2/14,523,5,2,3,Friday,1997,2,14,,,,,,,,,,,,,,,
232,1997/2/18,945,9,4,5,Tuesday,1997,2,18,,,,,,,,,,,,,,,
233,1997/2/21,65,0,6,5,Friday,1997,2,21,,,,,,,,,,,,,,,
234,1997/2/25,317,3,1,7,Tuesday,1997,2,25,,,,,,,,,,,,,,,
235,1997/2/28,582,5,8,2,Friday,1997,2,28,,,,,,,,,,,,,,,
236,1997/3/4,830,8,3,0,Tuesday,1997,3,4,,,,,,,,,,,,,,,
237,1997/3/7,648,6,4,8,Friday,1997,3,7,,,,,,,,,,,,,,,
238,1997/3/11,414,4,1,4,Tuesday,1997,3,11,,,,,,,,,,,,,,,
239,1997/3/14,741,7,4,1,Friday,1997,3,14,,,,,,,,,,,,,,,
240,1997/3/18,229,2,2,9,Tuesday,1997,3,18,,,,,,,,,,,,,,,
241,1997/3/21,400,4,0,0,Friday,1997,3,21,,,,,,,,,,,,,,,
242,1997/3/25,66,0,6,6,Tuesday,1997,3,25,,,,,,,,,,,,,,,
243,1997/3/28,608,6,0,8,Friday,1997,3,28,,,,,,,,,,,,,,,
244,1997/4/1,140,1,4,0,Tuesday,1997,4,1,,,,,,,,,,,,,,,
245,1997/4/4,827,8,2,7,Friday,1997,4,4,,,,,,,,,,,,,,,
246,1997/4/8,593,5,9,3,Tuesday,1997,4,8,,,,,,,,,,,,,,,
247,1997/4/11,537,5,3,7,Friday,1997,4,11,,,,,,,,,,,,,,,
248,1997/4/15,193,1,9,3,Tuesday,1997,4,15,,,,,,,,,,,,,,,
249,1997/4/18,624,6,2,4,Friday,1997,4,18,,,,,,,,,,,,,,,
250,1997/4/22,180,1,8,0,Tuesday,1997,4,22,,,,,,,,,,,,,,,
251,1997/4/25,227,2,2,7,Friday,1997,4,25,,,,,,,,,,,,,,,
252,1997/4/29,4,0,0,4,Tuesday,1997,4,29,,,,,,,,,,,,,,,
253,1997/5/2,616,6,1,6,Friday,1997,5,2,,,,,,,,,,,,,,,
254,1997/5/6,238,2,3,8,Tuesday,1997,5,6,,,,,,,,,,,,,,,
255,1997/5/9,770,7,7,0,Friday,1997,5,9,,,,,,,,,,,,,,,
256,1997/5/13,88,0,8,8,Tuesday,1997,5,13,,,,,,,,,,,,,,,
257,1997/5/16,935,9,3,5,Friday,1997,5,16,,,,,,,,,,,,,,,
258,1997/5/20,447,4,4,7,Tuesday,1997,5,20,,,,,,,,,,,,,,,
259,1997/5/23,216,2,1,6,Friday,1997,5,23,,,,,,,,,,,,,,,
260,1997/5/27,61,0,6,1,Tuesday,1997,5,27,,,,,,,,,,,,,,,
261,1997/5/30,596,5,9,6,Friday,1997,5,30,,,,,,,,,,,,,,,
262,1997/6/3,42,0,4,2,Tuesday,1997,6,3,,,,,,,,,,,,,,,
263,1997/6/6,839,8,3,9,Friday,1997,6,6,,,,,,,,,,,,,,,
264,1997/6/10,362,3,6,2,Tuesday,1997,6,10,,,,,,,,,,,,,,,
265,1997/6/13,928,9,2,8,Friday,1997,6,13,,,,,,,,,,,,,,,
266,1997/6/17,972,9,7,2,Tuesday,1997,6,17,,,,,,,,,,,,,,,
267,1997/6/20,93,0,9,3,Friday,1997,6,20,,,,,,,,,,,,,,,
268,1997/6/24,24,0,2,4,Tuesday,1997,6,24,,,,,,,,,,,,,,,
269,1997/6/27,782,7,8,2,Friday,1997,6,27,,,,,,,,,,,,,,,
270,1997/7/1,793,7,9,3,Tuesday,1997,7,1,,,,,,,,,,,,,,,
271,1997/7/4,823,8,2,3,Friday,1997,7,4,,,,,,,,,,,,,,,
272,1997/7/8,783,7,8,3,Tuesday,1997,7,8,,,,,,,,,,,,,,,
273,1997/7/11,526,5,2,6,Friday,1997,7,11,,,,,,,,,,,,,,,
274,1997/7/15,854,8,5,4,Tuesday,1997,7,15,,,,,,,,,,,,,,,
275,1997/7/18,806,8,0,6,Friday,1997,7,18,,,,,,,,,,,,,,,
276,1997/7/22,385,3,8,5,Tuesday,1997,7,22,,,,,,,,,,,,,,,
277,1997/7/25,632,6,3,2,Friday,1997,7,25,,,,,,,,,,,,,,,
278,1997/7/29,877,8,7,7,Tuesday,1997,7,29,,,,,,,,,,,,,,,
279,1997/8/1,891,8,9,1,Friday,1997,8,1,,,,,,,,,,,,,,,
280,1997/8/5,326,3,2,6,Tuesday,1997,8,5,,,,,,,,,,,,,,,
281,1997/8/8,907,9,0,7,Friday,1997,8,8,,,,,,,,,,,,,,,
282,1997/8/12,743,7,4,3,Tuesday,1997,8,12,,,,,,,,,,,,,,,
283,1997/8/15,940,9,4,0,Friday,1997,8,15,,,,,,,,,,,,,,,
284,1997/8/19,588,5,8,8,Tuesday,1997,8,19,,,,,,,,,,,,,,,
285,1997/8/22,760,7,6,0,Friday,1997,8,22,,,,,,,,,,,,,,,
286,1997/8/26,272,2,7,2,Tuesday,1997,8,26,,,,,,,,,,,,,,,
287,1997/8/29,925,9,2,5,Friday,1997,8,29,,,,,,,,,,,,,,,
288,1997/9/2,144,1,4,4,Tuesday,1997,9,2,,,,,,,,,,,,,,,
289,1997/9/5,838,8,3,8,Friday,1997,9,5,,,,,,,,,,,,,,,
290,1997/9/9,167,1,6,7,Tuesday,1997,9,9,,,,,,,,,,,,,,,
291,1997/9/12,85,0,8,5,Friday,1997,9,12,,,,,,,,,,,,,,,
292,1997/9/16,737,7,3,7,Tuesday,1997,9,16,,,,,,,,,,,,,,,
293,1997/9/19,663,6,6,3,Friday,1997,9,19,,,,,,,,,,,,,,,
294,1997/9/23,107,1,0,7,Tuesday,1997,9,23,,,,,,,,,,,,,,,
295,1997/9/26,75,0,7,5,Friday,1997,9,26,,,,,,,,,,,,,,,
296,1997/9/30,880,8,8,0,Tuesday,1997,9,30,,,,,,,,,,,,,,,
297,1997/10/3,144,1,4,4,Friday,1997,10,3,,,,,,,,,,,,,,,
298,1997/10/6,104,1,0,4,Monday,1997,10,6,,,,,,,,,,,,,,,
299,1997/10/8,155,1,5,5,Wednesday,1997,10,8,,,,,,,,,,,,,,,
300,1997/10/10,126,1,2,6,Friday,1997,10,10,,,,,,,,,,,,,,,
301,1997/10/13,330,3,3,0,Monday,1997,10,13,,,,,,,,,,,,,,,
302,1997/10/15,1,0,0,1,Wednesday,1997,10,15,,,,,,,,,,,,,,,
303,1997/10/17,497,4,9,7,Friday,1997,10,17,,,,,,,,,,,,,,,
304,1997/10/20,399,3,9,9,Monday,1997,10,20,,,,,,,,,,,,,,,
305,1997/10/22,367,3,6,7,Wednesday,1997,10,22,,,,,,,,,,,,,,,
306,1997/10/24,748,7,4,8,Friday,1997,10,24,,,,,,,,,,,,,,,
307,1997/10/27,690,6,9,0,Monday,1997,10,27,,,,,,,,,,,,,,,
308,1997/10/29,519,5,1,9,Wednesday,1997,10,29,,,,,,,,,,,,,,,
309,1997/10/31,777,7,7,7,Friday,1997,10,31,,,,,,,,,,,,,,,
310,1997/11/3,575,5,7,5,Monday,1997,11,3,,,,,,,,,,,,,,,
311,1997/11/5,104,1,0,4,Wednesday,1997,11,5,,,,,,,,,,,,,,,
312,1997/11/7,68,0,6,8,Friday,1997,11,7,,,,,,,,,,,,,,,
313,1997/11/10,69,0,6,9,Monday,1997,11,10,,,,,,,,,,,,,,,
314,1997/11/12,242,2,4,2,Wednesday,1997,11,12,,,,,,,,,,,,,,,
315,1997/11/14,137,1,3,7,Friday,1997,11,14,,,,,,,,,,,,,,,
316,1997/11/17,218,2,1,8,Monday,1997,11,17,,,,,,,,,,,,,,,
