id,issue number,date,number,place1,place2,place3,day of week
81,‘æ0081‰ñ,1995/8/29,269,2,6,9,Tuesday
82,‘æ0082‰ñ,1995/9/1,144,1,4,4,Friday
83,‘æ0083‰ñ,1995/9/5,174,1,7,4,Tuesday
84,‘æ0084‰ñ,1995/9/8,882,8,8,2,Friday
85,‘æ0085‰ñ,1995/9/12,307,3,0,7,Tuesday
86,‘æ0086‰ñ,1995/9/15,864,8,6,4,Friday
87,‘æ0087‰ñ,1995/9/19,370,3,7,0,Tuesday
88,‘æ0088‰ñ,1995/9/22,739,7,3,9,Friday
89,‘æ0089‰ñ,1995/9/26,697,6,9,7,Tuesday
90,‘æ0090‰ñ,1995/9/29,689,6,8,9,Friday
91,‘æ0091‰ñ,1995/10/3,168,1,6,8,Tuesday
92,‘æ0092‰ñ,1995/10/6,957,9,5,7,Friday
93,‘æ0093‰ñ,1995/10/10,910,9,1,0,Tuesday
94,‘æ0094‰ñ,1995/10/13,933,9,3,3,Friday
95,‘æ0095‰ñ,1995/10/17,306,3,0,6,Tuesday
96,‘æ0096‰ñ,1995/10/20,944,9,4,4,Friday
97,‘æ0097‰ñ,1995/10/24,988,9,8,8,Tuesday
98,‘æ0098‰ñ,1995/10/27,562,5,6,2,Friday
99,‘æ0099‰ñ,1995/10/31,571,5,7,1,Tuesday
100,‘æ0100‰ñ,1995/11/3,899,8,9,9,Friday
101,‘æ0101‰ñ,1995/11/7,945,9,4,5,Tuesday
102,‘æ0102‰ñ,1995/11/10,560,5,6,0,Friday
103,‘æ0103‰ñ,1995/11/14,824,8,2,4,Tuesday
104,‘æ0104‰ñ,1995/11/17,610,6,1,0,Friday
105,‘æ0105‰ñ,1995/11/21,619,6,1,9,Tuesday
106,‘æ0106‰ñ,1995/11/24,86,0,8,6,Friday
107,‘æ0107‰ñ,1995/11/28,82,0,8,2,Tuesday
108,‘æ0108‰ñ,1995/12/1,254,2,5,4,Friday
109,‘æ0109‰ñ,1995/12/5,191,1,9,1,Tuesday
110,‘æ0110‰ñ,1995/12/8,385,3,8,5,Friday
111,‘æ0111‰ñ,1995/12/12,56,0,5,6,Tuesday
112,‘æ0112‰ñ,1995/12/15,167,1,6,7,Friday
113,‘æ0113‰ñ,1995/12/19,744,7,4,4,Tuesday
114,‘æ0114‰ñ,1995/12/22,205,2,0,5,Friday
115,‘æ0115‰ñ,1995/12/26,770,7,7,0,Tuesday
116,‘æ0116‰ñ,1995/12/29,366,3,6,6,Friday
117,‘æ0117‰ñ,1996/1/5,952,9,5,2,Friday
118,‘æ0118‰ñ,1996/1/9,635,6,3,5,Tuesday
119,‘æ0119‰ñ,1996/1/12,952,9,5,2,Friday
120,‘æ0120‰ñ,1996/1/16,650,6,5,0,Tuesday
121,‘æ0121‰ñ,1996/1/19,439,4,3,9,Friday
122,‘æ0122‰ñ,1996/1/23,458,4,5,8,Tuesday
123,‘æ0123‰ñ,1996/1/26,513,5,1,3,Friday
124,‘æ0124‰ñ,1996/1/30,863,8,6,3,Tuesday
125,‘æ0125‰ñ,1996/2/2,409,4,0,9,Friday
126,‘æ0126‰ñ,1996/2/6,318,3,1,8,Tuesday
127,‘æ0127‰ñ,1996/2/9,217,2,1,7,Friday
128,‘æ0128‰ñ,1996/2/13,855,8,5,5,Tuesday
129,‘æ0129‰ñ,1996/2/16,620,6,2,0,Friday
130,‘æ0130‰ñ,1996/2/20,559,5,5,9,Tuesday
131,‘æ0131‰ñ,1996/2/23,820,8,2,0,Friday
132,‘æ0132‰ñ,1996/2/27,16,0,1,6,Tuesday
133,‘æ0133‰ñ,1996/3/1,926,9,2,6,Friday
134,‘æ0134‰ñ,1996/3/5,603,6,0,3,Tuesday
135,‘æ0135‰ñ,1996/3/8,454,4,5,4,Friday
136,‘æ0136‰ñ,1996/3/12,295,2,9,5,Tuesday
137,‘æ0137‰ñ,1996/3/15,819,8,1,9,Friday
138,‘æ0138‰ñ,1996/3/19,995,9,9,5,Tuesday
139,‘æ0139‰ñ,1996/3/22,356,3,5,6,Friday
140,‘æ0140‰ñ,1996/3/26,54,0,5,4,Tuesday
141,‘æ0141‰ñ,1996/3/29,783,7,8,3,Friday
142,‘æ0142‰ñ,1996/4/2,77,0,7,7,Tuesday
143,‘æ0143‰ñ,1996/4/5,694,6,9,4,Friday
144,‘æ0144‰ñ,1996/4/9,594,5,9,4,Tuesday
145,‘æ0145‰ñ,1996/4/12,125,1,2,5,Friday
146,‘æ0146‰ñ,1996/4/16,766,7,6,6,Tuesday
147,‘æ0147‰ñ,1996/4/19,464,4,6,4,Friday
148,‘æ0148‰ñ,1996/4/23,489,4,8,9,Tuesday
149,‘æ0149‰ñ,1996/4/26,3,0,0,3,Friday
150,‘æ0150‰ñ,1996/4/30,538,5,3,8,Tuesday
151,‘æ0151‰ñ,1996/5/3,332,3,3,2,Friday
152,‘æ0152‰ñ,1996/5/7,224,2,2,4,Tuesday
153,‘æ0153‰ñ,1996/5/10,750,7,5,0,Friday
154,‘æ0154‰ñ,1996/5/14,791,7,9,1,Tuesday
155,‘æ0155‰ñ,1996/5/17,126,1,2,6,Friday
156,‘æ0156‰ñ,1996/5/21,991,9,9,1,Tuesday
157,‘æ0157‰ñ,1996/5/24,570,5,7,0,Friday
158,‘æ0158‰ñ,1996/5/28,604,6,0,4,Tuesday
159,‘æ0159‰ñ,1996/5/31,259,2,5,9,Friday
160,‘æ0160‰ñ,1996/6/4,839,8,3,9,Tuesday
161,‘æ0161‰ñ,1996/6/7,284,2,8,4,Friday
162,‘æ0162‰ñ,1996/6/11,516,5,1,6,Tuesday
163,‘æ0163‰ñ,1996/6/14,648,6,4,8,Friday
164,‘æ0164‰ñ,1996/6/18,198,1,9,8,Tuesday
165,‘æ0165‰ñ,1996/6/21,563,5,6,3,Friday
166,‘æ0166‰ñ,1996/6/25,331,3,3,1,Tuesday
167,‘æ0167‰ñ,1996/6/28,233,2,3,3,Friday
168,‘æ0168‰ñ,1996/7/2,107,1,0,7,Tuesday
169,‘æ0169‰ñ,1996/7/5,351,3,5,1,Friday
170,‘æ0170‰ñ,1996/7/9,574,5,7,4,Tuesday
171,‘æ0171‰ñ,1996/7/12,679,6,7,9,Friday
172,‘æ0172‰ñ,1996/7/16,355,3,5,5,Tuesday
173,‘æ0173‰ñ,1996/7/19,581,5,8,1,Friday
174,‘æ0174‰ñ,1996/7/23,967,9,6,7,Tuesday
175,‘æ0175‰ñ,1996/7/26,683,6,8,3,Friday
176,‘æ0176‰ñ,1996/7/30,203,2,0,3,Tuesday
177,‘æ0177‰ñ,1996/8/2,845,8,4,5,Friday
178,‘æ0178‰ñ,1996/8/6,464,4,6,4,Tuesday
179,‘æ0179‰ñ,1996/8/9,168,1,6,8,Friday
180,‘æ0180‰ñ,1996/8/13,632,6,3,2,Tuesday
181,‘æ0181‰ñ,1996/8/16,890,8,9,0,Friday
182,‘æ0182‰ñ,1996/8/20,439,4,3,9,Tuesday
183,‘æ0183‰ñ,1996/8/23,589,5,8,9,Friday
184,‘æ0184‰ñ,1996/8/27,492,4,9,2,Tuesday
185,‘æ0185‰ñ,1996/8/30,882,8,8,2,Friday
186,‘æ0186‰ñ,1996/9/3,439,4,3,9,Tuesday
187,‘æ0187‰ñ,1996/9/6,975,9,7,5,Friday
188,‘æ0188‰ñ,1996/9/10,254,2,5,4,Tuesday
189,‘æ0189‰ñ,1996/9/13,199,1,9,9,Friday
190,‘æ0190‰ñ,1996/9/17,170,1,7,0,Tuesday
191,‘æ0191‰ñ,1996/9/20,424,4,2,4,Friday
192,‘æ0192‰ñ,1996/9/24,21,0,2,1,Tuesday
193,‘æ0193‰ñ,1996/9/27,656,6,5,6,Friday
194,‘æ0194‰ñ,1996/10/1,812,8,1,2,Tuesday
195,‘æ0195‰ñ,1996/10/4,819,8,1,9,Friday
196,‘æ0196‰ñ,1996/10/8,907,9,0,7,Tuesday
197,‘æ0197‰ñ,1996/10/11,728,7,2,8,Friday
198,‘æ0198‰ñ,1996/10/15,374,3,7,4,Tuesday
199,‘æ0199‰ñ,1996/10/18,269,2,6,9,Friday
200,‘æ0200‰ñ,1996/10/22,411,4,1,1,Tuesday
201,‘æ0201‰ñ,1996/10/25,176,1,7,6,Friday
202,‘æ0202‰ñ,1996/10/29,676,6,7,6,Tuesday
203,‘æ0203‰ñ,1996/11/1,93,0,9,3,Friday
204,‘æ0204‰ñ,1996/11/5,211,2,1,1,Tuesday
205,‘æ0205‰ñ,1996/11/8,531,5,3,1,Friday
206,‘æ0206‰ñ,1996/11/12,938,9,3,8,Tuesday
207,‘æ0207‰ñ,1996/11/15,413,4,1,3,Friday
208,‘æ0208‰ñ,1996/11/19,781,7,8,1,Tuesday
209,‘æ0209‰ñ,1996/11/22,920,9,2,0,Friday
210,‘æ0210‰ñ,1996/11/26,192,1,9,2,Tuesday
211,‘æ0211‰ñ,1996/11/29,22,0,2,2,Friday
212,‘æ0212‰ñ,1996/12/3,151,1,5,1,Tuesday
213,‘æ0213‰ñ,1996/12/6,502,5,0,2,Friday
214,‘æ0214‰ñ,1996/12/10,870,8,7,0,Tuesday
215,‘æ0215‰ñ,1996/12/13,215,2,1,5,Friday
216,‘æ0216‰ñ,1996/12/17,337,3,3,7,Tuesday
217,‘æ0217‰ñ,1996/12/20,712,7,1,2,Friday
218,‘æ0218‰ñ,1996/12/24,594,5,9,4,Tuesday
219,‘æ0219‰ñ,1996/12/27,260,2,6,0,Friday
220,‘æ0220‰ñ,1997/1/7,112,1,1,2,Tuesday
221,‘æ0221‰ñ,1997/1/10,514,5,1,4,Friday
222,‘æ0222‰ñ,1997/1/14,227,2,2,7,Tuesday
223,‘æ0223‰ñ,1997/1/17,333,3,3,3,Friday
224,‘æ0224‰ñ,1997/1/21,466,4,6,6,Tuesday
225,‘æ0225‰ñ,1997/1/24,751,7,5,1,Friday
226,‘æ0226‰ñ,1997/1/28,952,9,5,2,Tuesday
227,‘æ0227‰ñ,1997/1/31,188,1,8,8,Friday
228,‘æ0228‰ñ,1997/2/4,14,0,1,4,Tuesday
229,‘æ0229‰ñ,1997/2/7,409,4,0,9,Friday
230,‘æ0230‰ñ,1997/2/11,383,3,8,3,Tuesday
231,‘æ0231‰ñ,1997/2/14,523,5,2,3,Friday
232,‘æ0232‰ñ,1997/2/18,945,9,4,5,Tuesday
233,‘æ0233‰ñ,1997/2/21,65,0,6,5,Friday
234,‘æ0234‰ñ,1997/2/25,317,3,1,7,Tuesday
235,‘æ0235‰ñ,1997/2/28,582,5,8,2,Friday
236,‘æ0236‰ñ,1997/3/4,830,8,3,0,Tuesday
237,‘æ0237‰ñ,1997/3/7,648,6,4,8,Friday
238,‘æ0238‰ñ,1997/3/11,414,4,1,4,Tuesday
239,‘æ0239‰ñ,1997/3/14,741,7,4,1,Friday
240,‘æ0240‰ñ,1997/3/18,229,2,2,9,Tuesday
241,‘æ0241‰ñ,1997/3/21,400,4,0,0,Friday
242,‘æ0242‰ñ,1997/3/25,66,0,6,6,Tuesday
243,‘æ0243‰ñ,1997/3/28,608,6,0,8,Friday
244,‘æ0244‰ñ,1997/4/1,140,1,4,0,Tuesday
245,‘æ0245‰ñ,1997/4/4,827,8,2,7,Friday
246,‘æ0246‰ñ,1997/4/8,593,5,9,3,Tuesday
247,‘æ0247‰ñ,1997/4/11,537,5,3,7,Friday
248,‘æ0248‰ñ,1997/4/15,193,1,9,3,Tuesday
249,‘æ0249‰ñ,1997/4/18,624,6,2,4,Friday
250,‘æ0250‰ñ,1997/4/22,180,1,8,0,Tuesday
251,‘æ0251‰ñ,1997/4/25,227,2,2,7,Friday
252,‘æ0252‰ñ,1997/4/29,4,0,0,4,Tuesday
253,‘æ0253‰ñ,1997/5/2,616,6,1,6,Friday
254,‘æ0254‰ñ,1997/5/6,238,2,3,8,Tuesday
255,‘æ0255‰ñ,1997/5/9,770,7,7,0,Friday
256,‘æ0256‰ñ,1997/5/13,88,0,8,8,Tuesday
257,‘æ0257‰ñ,1997/5/16,935,9,3,5,Friday
258,‘æ0258‰ñ,1997/5/20,447,4,4,7,Tuesday
259,‘æ0259‰ñ,1997/5/23,216,2,1,6,Friday
260,‘æ0260‰ñ,1997/5/27,61,0,6,1,Tuesday
261,‘æ0261‰ñ,1997/5/30,596,5,9,6,Friday
262,‘æ0262‰ñ,1997/6/3,42,0,4,2,Tuesday
263,‘æ0263‰ñ,1997/6/6,839,8,3,9,Friday
264,‘æ0264‰ñ,1997/6/10,362,3,6,2,Tuesday
265,‘æ0265‰ñ,1997/6/13,928,9,2,8,Friday
266,‘æ0266‰ñ,1997/6/17,972,9,7,2,Tuesday
267,‘æ0267‰ñ,1997/6/20,93,0,9,3,Friday
268,‘æ0268‰ñ,1997/6/24,24,0,2,4,Tuesday
269,‘æ0269‰ñ,1997/6/27,782,7,8,2,Friday
270,‘æ0270‰ñ,1997/7/1,793,7,9,3,Tuesday
271,‘æ0271‰ñ,1997/7/4,823,8,2,3,Friday
272,‘æ0272‰ñ,1997/7/8,783,7,8,3,Tuesday
273,‘æ0273‰ñ,1997/7/11,526,5,2,6,Friday
274,‘æ0274‰ñ,1997/7/15,854,8,5,4,Tuesday
275,‘æ0275‰ñ,1997/7/18,806,8,0,6,Friday
276,‘æ0276‰ñ,1997/7/22,385,3,8,5,Tuesday
277,‘æ0277‰ñ,1997/7/25,632,6,3,2,Friday
278,‘æ0278‰ñ,1997/7/29,877,8,7,7,Tuesday
279,‘æ0279‰ñ,1997/8/1,891,8,9,1,Friday
280,‘æ0280‰ñ,1997/8/5,326,3,2,6,Tuesday
281,‘æ0281‰ñ,1997/8/8,907,9,0,7,Friday
282,‘æ0282‰ñ,1997/8/12,743,7,4,3,Tuesday
283,‘æ0283‰ñ,1997/8/15,940,9,4,0,Friday
284,‘æ0284‰ñ,1997/8/19,588,5,8,8,Tuesday
285,‘æ0285‰ñ,1997/8/22,760,7,6,0,Friday
286,‘æ0286‰ñ,1997/8/26,272,2,7,2,Tuesday
287,‘æ0287‰ñ,1997/8/29,925,9,2,5,Friday
288,‘æ0288‰ñ,1997/9/2,144,1,4,4,Tuesday
289,‘æ0289‰ñ,1997/9/5,838,8,3,8,Friday
290,‘æ0290‰ñ,1997/9/9,167,1,6,7,Tuesday
291,‘æ0291‰ñ,1997/9/12,85,0,8,5,Friday
292,‘æ0292‰ñ,1997/9/16,737,7,3,7,Tuesday
293,‘æ0293‰ñ,1997/9/19,663,6,6,3,Friday
294,‘æ0294‰ñ,1997/9/23,107,1,0,7,Tuesday
295,‘æ0295‰ñ,1997/9/26,75,0,7,5,Friday
296,‘æ0296‰ñ,1997/9/30,880,8,8,0,Tuesday
297,‘æ0297‰ñ,1997/10/3,144,1,4,4,Friday
298,‘æ0298‰ñ,1997/10/6,104,1,0,4,Monday
299,‘æ0299‰ñ,1997/10/8,155,1,5,5,Wednesday
300,‘æ0300‰ñ,1997/10/10,126,1,2,6,Friday
301,‘æ0301‰ñ,1997/10/13,330,3,3,0,Monday
302,‘æ0302‰ñ,1997/10/15,1,0,0,1,Wednesday
303,‘æ0303‰ñ,1997/10/17,497,4,9,7,Friday
304,‘æ0304‰ñ,1997/10/20,399,3,9,9,Monday
305,‘æ0305‰ñ,1997/10/22,367,3,6,7,Wednesday
306,‘æ0306‰ñ,1997/10/24,748,7,4,8,Friday
307,‘æ0307‰ñ,1997/10/27,690,6,9,0,Monday
308,‘æ0308‰ñ,1997/10/29,519,5,1,9,Wednesday
309,‘æ0309‰ñ,1997/10/31,777,7,7,7,Friday
310,‘æ0310‰ñ,1997/11/3,575,5,7,5,Monday
311,‘æ0311‰ñ,1997/11/5,104,1,0,4,Wednesday
312,‘æ0312‰ñ,1997/11/7,68,0,6,8,Friday
313,‘æ0313‰ñ,1997/11/10,69,0,6,9,Monday
314,‘æ0314‰ñ,1997/11/12,242,2,4,2,Wednesday
315,‘æ0315‰ñ,1997/11/14,137,1,3,7,Friday
316,‘æ0316‰ñ,1997/11/17,218,2,1,8,Monday
317,‘æ0317‰ñ,1997/11/19,190,1,9,0,Wednesday
318,‘æ0318‰ñ,1997/11/21,537,5,3,7,Friday
319,‘æ0319‰ñ,1997/11/24,395,3,9,5,Monday
320,‘æ0320‰ñ,1997/11/26,598,5,9,8,Wednesday
321,‘æ0321‰ñ,1997/11/28,429,4,2,9,Friday
322,‘æ0322‰ñ,1997/12/1,64,0,6,4,Monday
323,‘æ0323‰ñ,1997/12/3,375,3,7,5,Wednesday
324,‘æ0324‰ñ,1997/12/5,805,8,0,5,Friday
325,‘æ0325‰ñ,1997/12/8,531,5,3,1,Monday
326,‘æ0326‰ñ,1997/12/10,930,9,3,0,Wednesday
327,‘æ0327‰ñ,1997/12/12,980,9,8,0,Friday
328,‘æ0328‰ñ,1997/12/15,736,7,3,6,Monday
329,‘æ0329‰ñ,1997/12/17,543,5,4,3,Wednesday
330,‘æ0330‰ñ,1997/12/19,179,1,7,9,Friday
331,‘æ0331‰ñ,1997/12/22,196,1,9,6,Monday
332,‘æ0332‰ñ,1997/12/24,167,1,6,7,Wednesday
333,‘æ0333‰ñ,1997/12/26,238,2,3,8,Friday
334,‘æ0334‰ñ,1997/12/29,480,4,8,0,Monday
335,‘æ0335‰ñ,1998/1/5,950,9,5,0,Monday
336,‘æ0336‰ñ,1998/1/7,551,5,5,1,Wednesday
337,‘æ0337‰ñ,1998/1/9,632,6,3,2,Friday
338,‘æ0338‰ñ,1998/1/12,704,7,0,4,Monday
339,‘æ0339‰ñ,1998/1/14,152,1,5,2,Wednesday
340,‘æ0340‰ñ,1998/1/16,992,9,9,2,Friday
341,‘æ0341‰ñ,1998/1/19,259,2,5,9,Monday
342,‘æ0342‰ñ,1998/1/21,686,6,8,6,Wednesday
343,‘æ0343‰ñ,1998/1/23,997,9,9,7,Friday
344,‘æ0344‰ñ,1998/1/26,35,0,3,5,Monday
345,‘æ0345‰ñ,1998/1/28,513,5,1,3,Wednesday
346,‘æ0346‰ñ,1998/1/30,0,0,0,0,Friday
347,‘æ0347‰ñ,1998/2/2,718,7,1,8,Monday
348,‘æ0348‰ñ,1998/2/4,394,3,9,4,Wednesday
349,‘æ0349‰ñ,1998/2/6,431,4,3,1,Friday
350,‘æ0350‰ñ,1998/2/9,638,6,3,8,Monday
351,‘æ0351‰ñ,1998/2/11,417,4,1,7,Wednesday
352,‘æ0352‰ñ,1998/2/13,38,0,3,8,Friday
353,‘æ0353‰ñ,1998/2/16,996,9,9,6,Monday
354,‘æ0354‰ñ,1998/2/18,750,7,5,0,Wednesday
355,‘æ0355‰ñ,1998/2/20,487,4,8,7,Friday
356,‘æ0356‰ñ,1998/2/23,852,8,5,2,Monday
357,‘æ0357‰ñ,1998/2/25,756,7,5,6,Wednesday
358,‘æ0358‰ñ,1998/2/27,469,4,6,9,Friday
359,‘æ0359‰ñ,1998/3/2,277,2,7,7,Monday
360,‘æ0360‰ñ,1998/3/4,965,9,6,5,Wednesday
361,‘æ0361‰ñ,1998/3/6,965,9,6,5,Friday
362,‘æ0362‰ñ,1998/3/9,640,6,4,0,Monday
363,‘æ0363‰ñ,1998/3/11,458,4,5,8,Wednesday
364,‘æ0364‰ñ,1998/3/13,908,9,0,8,Friday
365,‘æ0365‰ñ,1998/3/16,887,8,8,7,Monday
366,‘æ0366‰ñ,1998/3/18,841,8,4,1,Wednesday
367,‘æ0367‰ñ,1998/3/20,778,7,7,8,Friday
368,‘æ0368‰ñ,1998/3/23,805,8,0,5,Monday
369,‘æ0369‰ñ,1998/3/25,135,1,3,5,Wednesday
370,‘æ0370‰ñ,1998/3/27,91,0,9,1,Friday
371,‘æ0371‰ñ,1998/3/30,798,7,9,8,Monday
372,‘æ0372‰ñ,1998/4/1,202,2,0,2,Wednesday
373,‘æ0373‰ñ,1998/4/3,417,4,1,7,Friday
374,‘æ0374‰ñ,1998/4/6,409,4,0,9,Monday
375,‘æ0375‰ñ,1998/4/8,994,9,9,4,Wednesday
376,‘æ0376‰ñ,1998/4/10,274,2,7,4,Friday
377,‘æ0377‰ñ,1998/4/13,155,1,5,5,Monday
378,‘æ0378‰ñ,1998/4/15,75,0,7,5,Wednesday
379,‘æ0379‰ñ,1998/4/17,649,6,4,9,Friday
380,‘æ0380‰ñ,1998/4/20,820,8,2,0,Monday
381,‘æ0381‰ñ,1998/4/22,885,8,8,5,Wednesday
382,‘æ0382‰ñ,1998/4/24,606,6,0,6,Friday
383,‘æ0383‰ñ,1998/4/27,81,0,8,1,Monday
384,‘æ0384‰ñ,1998/4/29,690,6,9,0,Wednesday
385,‘æ0385‰ñ,1998/5/1,332,3,3,2,Friday
386,‘æ0386‰ñ,1998/5/4,578,5,7,8,Monday
387,‘æ0387‰ñ,1998/5/6,396,3,9,6,Wednesday
388,‘æ0388‰ñ,1998/5/8,227,2,2,7,Friday
389,‘æ0389‰ñ,1998/5/11,275,2,7,5,Monday
390,‘æ0390‰ñ,1998/5/13,956,9,5,6,Wednesday
391,‘æ0391‰ñ,1998/5/15,66,0,6,6,Friday
392,‘æ0392‰ñ,1998/5/18,426,4,2,6,Monday
393,‘æ0393‰ñ,1998/5/20,29,0,2,9,Wednesday
394,‘æ0394‰ñ,1998/5/22,729,7,2,9,Friday
395,‘æ0395‰ñ,1998/5/25,440,4,4,0,Monday
396,‘æ0396‰ñ,1998/5/27,963,9,6,3,Wednesday
397,‘æ0397‰ñ,1998/5/29,345,3,4,5,Friday
398,‘æ0398‰ñ,1998/6/1,274,2,7,4,Monday
399,‘æ0399‰ñ,1998/6/3,816,8,1,6,Wednesday
400,‘æ0400‰ñ,1998/6/5,596,5,9,6,Friday
401,‘æ0401‰ñ,1998/6/8,354,3,5,4,Monday
402,‘æ0402‰ñ,1998/6/10,58,0,5,8,Wednesday
403,‘æ0403‰ñ,1998/6/12,431,4,3,1,Friday
404,‘æ0404‰ñ,1998/6/15,109,1,0,9,Monday
405,‘æ0405‰ñ,1998/6/17,891,8,9,1,Wednesday
406,‘æ0406‰ñ,1998/6/19,222,2,2,2,Friday
407,‘æ0407‰ñ,1998/6/22,42,0,4,2,Monday
408,‘æ0408‰ñ,1998/6/24,237,2,3,7,Wednesday
409,‘æ0409‰ñ,1998/6/26,400,4,0,0,Friday
410,‘æ0410‰ñ,1998/6/29,866,8,6,6,Monday
411,‘æ0411‰ñ,1998/7/1,636,6,3,6,Wednesday
412,‘æ0412‰ñ,1998/7/3,514,5,1,4,Friday
