id,age,job,marital,education,default,amount,housing,loan,contact,day,month,duration,campaign,previous,y
67,50,admin.,single,secondary,no,642.0,no,no,cellular,18,nov,236.18475977226888,1,0,0
68,35,blue-collar,married,unknown,no,-205.0,yes,no,sending _document,23,may,344.5814403531282,14,0,1
69,39,admin.,single,secondary,no,720.0,yes,no,telephone,18,nov,333.31382963695785,3,0,0
70,36,services,single,secondary,no,755.0,no,no,sending _document,18,jun,183.48043043723368,1,0,1
71,30,technician,single,tertiary,yes,23.0,no,no,cellular,12,aug,,4,0,0
72,43,admin.,single,secondary,no,-495.0,yes,yes,sending _document,23,may,370.9662394578242,1,0,0
73,37,services,divorced,secondary,no,532.0,yes,no,sending _document,11,jun,331.75014528018033,1,0,1
74,53,services,divorced,primary,no,200.0,no,no,cellular,17,nov,289.9288388307451,3,0,1
75,45,unknown,married,unknown,no,19706.0,yes,no,cellular,3,feb,339.4496747162801,3,0,0
76,30,blue-collar,single,secondary,no,397.0,yes,no,sending _document,28,may,351.3541399549162,7,0,1
77,53,management,divorced,tertiary,no,-187.0,yes,no,cellular,31,jul,406.9489865509896,2,0,0
78,45,entrepreneur,married,secondary,no,-479.0,yes,no,cellular,30,jul,359.6848083630715,2,0,1
79,51,admin.,married,secondary,no,3025.0,no,no,cellular,7,may,275.5851522808276,1,1,0
80,35,blue-collar,single,primary,no,-269.0,yes,no,sending _document,9,jun,365.377105060706,10,0,1
81,53,services,married,unknown,no,2009.0,no,no,cellular,16,jun,,1,0,0
82,33,blue-collar,married,secondary,no,-253.0,yes,no,cellular,12,may,333.468470060592,3,0,1
83,49,management,single,secondary,no,-18.0,yes,no,cellular,11,may,,3,4,1
84,36,admin.,single,secondary,no,0.0,no,no,cellular,4,feb,,2,0,0
85,41,unknown,single,tertiary,no,1567.0,no,no,cellular,1,jul,225.8089108556661,2,0,0
86,36,admin.,single,unknown,no,-69.0,yes,no,sending _document,27,may,,2,0,1
87,34,management,married,tertiary,no,1273.0,no,no,sending _document,11,aug,263.3797192190168,2,0,1
88,37,retired,married,secondary,no,-252.0,no,no,cellular,22,jul,,3,0,0
89,47,retired,divorced,secondary,no,0.0,no,no,sending _document,19,jun,215.98234987149158,1,0,0
90,54,self-employed,married,tertiary,no,0.0,yes,no,cellular,20,aug,328.897151307275,5,0,0
91,46,blue-collar,single,secondary,no,2401.0,yes,no,sending _document,14,may,243.85660008114203,2,0,0
92,36,management,married,tertiary,no,9324.0,yes,no,cellular,30,mar,360.48900608252893,8,0,1
93,47,admin.,married,secondary,no,1383.0,yes,no,sending _document,6,jun,468.1560851021554,8,0,1
94,34,self-employed,single,tertiary,no,1798.0,yes,no,cellular,13,may,285.2390569489854,3,0,1
95,38,management,married,tertiary,no,385.0,yes,no,telephone,28,oct,,1,0,1
96,35,entrepreneur,single,secondary,no,475.0,no,yes,cellular,21,jul,315.26541090333194,4,0,0
97,38,blue-collar,divorced,secondary,no,593.0,yes,no,cellular,17,apr,,2,0,1
98,42,services,married,secondary,no,693.0,yes,no,sending _document,13,may,305.8724214148029,2,0,0
99,29,management,single,tertiary,no,2753.0,no,no,cellular,30,apr,197.17185702407014,1,0,1
100,56,management,single,secondary,no,237.0,yes,no,telephone,9,jul,385.2955205594219,4,0,1
101,46,technician,married,secondary,no,78.0,no,no,cellular,20,aug,,2,0,0
102,34,admin.,married,tertiary,no,0.0,yes,yes,cellular,3,aug,465.48130231661014,2,7,1
103,56,blue-collar,divorced,primary,no,8.0,yes,no,sending _document,5,may,,2,0,1
104,60,housemaid,divorced,secondary,no,387.0,yes,no,sending _document,4,jun,443.2439067829135,1,0,0
105,25,management,married,tertiary,no,127.0,yes,no,cellular,18,may,279.12544378657697,2,0,0
106,29,management,single,tertiary,no,3041.0,yes,no,cellular,8,may,293.2714373486283,3,0,1
107,37,admin.,single,tertiary,no,-898.0,yes,no,sending _document,21,may,328.53125778027055,1,0,0
108,33,technician,married,tertiary,no,599.0,yes,no,cellular,29,aug,266.5518577928639,2,0,0
109,35,technician,married,tertiary,no,358.0,no,no,cellular,29,aug,181.10527134233294,9,0,1
110,46,retired,married,secondary,no,2396.0,no,no,cellular,8,may,,1,0,0
111,35,blue-collar,single,secondary,no,448.0,no,yes,cellular,20,nov,327.5536632274776,6,0,1
112,34,technician,married,secondary,no,1137.0,no,no,cellular,29,jan,,2,1,0
113,31,entrepreneur,married,tertiary,no,-231.0,yes,no,cellular,26,aug,286.1212308540008,2,0,0
114,39,technician,single,tertiary,no,54.0,yes,no,cellular,3,apr,394.42817764762145,2,12,0
115,32,unemployed,single,primary,yes,0.0,no,no,cellular,21,nov,,1,0,0
116,37,technician,divorced,secondary,no,2610.0,yes,no,cellular,13,may,228.0245440605558,1,0,0
117,41,services,divorced,secondary,yes,-198.0,no,yes,sending _document,14,may,198.35423227808596,1,0,0
118,39,blue-collar,married,secondary,no,-66.0,no,yes,telephone,24,jul,295.2001681440571,5,0,0
119,28,admin.,single,secondary,no,1238.0,yes,no,sending _document,28,may,238.3650975366749,2,0,0
120,34,blue-collar,married,primary,no,428.0,yes,no,cellular,18,may,228.30747236029106,2,0,0
121,34,housemaid,married,primary,no,2929.0,no,no,cellular,14,aug,,2,0,0
122,32,services,single,secondary,no,335.0,yes,yes,sending _document,4,jul,364.66500559754877,1,0,0
123,70,retired,married,unknown,no,1236.0,no,no,cellular,12,mar,,4,0,1
124,30,unemployed,single,tertiary,no,4082.0,no,no,telephone,14,jun,,1,17,0
125,52,technician,married,secondary,no,1373.0,no,no,cellular,27,oct,273.6502320949894,1,0,0
126,51,technician,married,secondary,no,564.0,no,yes,cellular,8,jul,315.9066482497514,2,0,0
127,41,blue-collar,married,primary,no,620.0,no,no,cellular,28,jan,,1,0,0
128,39,blue-collar,married,primary,no,176.0,yes,yes,cellular,3,apr,414.9510146640852,2,0,0
129,44,housemaid,married,secondary,no,2541.0,no,no,cellular,27,aug,,3,0,0
130,58,retired,married,secondary,no,2609.0,no,no,cellular,12,aug,230.71045876515097,5,0,0
131,34,technician,married,secondary,no,449.0,no,no,cellular,8,aug,,4,0,0
132,38,technician,married,secondary,no,740.0,no,no,cellular,7,aug,,3,0,0
133,30,technician,single,tertiary,no,432.0,yes,yes,sending _document,3,jun,331.4916034718952,3,0,0
134,48,blue-collar,married,primary,no,1092.0,no,yes,cellular,18,nov,388.357217957953,1,8,0
135,58,unemployed,married,tertiary,no,1798.0,yes,no,cellular,5,feb,,8,0,1
136,34,entrepreneur,married,secondary,no,2.0,yes,yes,cellular,5,may,444.4978288454278,1,6,0
137,31,services,married,primary,no,-212.0,no,yes,cellular,20,nov,,4,0,0
138,37,entrepreneur,married,primary,no,0.0,no,no,cellular,25,may,,1,0,0
139,57,retired,divorced,primary,no,698.0,no,no,telephone,1,jun,265.1948283708706,2,0,0
140,28,student,single,secondary,no,2351.0,no,no,telephone,22,oct,,1,0,0
141,32,services,single,secondary,no,545.0,yes,no,cellular,18,may,294.63231148571816,1,1,0
142,32,blue-collar,married,secondary,no,-667.0,yes,no,cellular,18,may,306.6027149969316,7,1,0
143,39,management,single,tertiary,no,2357.0,yes,no,cellular,20,apr,339.70145871052404,3,1,1
144,41,management,single,tertiary,no,11008.0,no,no,sending _document,18,jun,,1,0,0
145,47,services,married,secondary,no,612.0,no,no,cellular,26,aug,188.17163741409968,4,0,1
146,28,blue-collar,single,secondary,yes,0.0,yes,no,sending _document,4,jun,294.6931856942792,1,0,0
147,26,admin.,single,secondary,no,0.0,yes,no,cellular,13,may,335.54770486693036,3,0,1
148,60,management,married,secondary,no,164.0,no,yes,cellular,8,jul,370.04157884879805,1,0,0
149,49,housemaid,married,primary,no,0.0,yes,no,cellular,25,jul,315.1893753252138,3,0,1
150,32,blue-collar,divorced,secondary,no,8.0,yes,no,cellular,16,jul,267.00627529615315,1,0,0
151,25,blue-collar,single,secondary,no,0.0,yes,no,cellular,13,may,245.5085767668067,9,0,1
152,25,student,married,secondary,no,449.0,no,no,sending _document,24,jul,,1,0,0
153,57,unemployed,divorced,secondary,no,2762.0,no,no,telephone,19,nov,227.06055397151317,1,0,0
154,50,management,married,tertiary,no,15442.0,no,no,sending _document,5,jun,246.53855460932618,1,0,0
155,39,management,married,primary,no,1749.0,yes,no,sending _document,29,may,328.13130171256046,1,0,0
156,34,management,married,tertiary,no,1778.0,no,no,cellular,5,feb,,1,3,0
157,38,blue-collar,married,secondary,no,926.0,no,yes,sending _document,6,jun,276.841835869023,3,0,1
158,30,services,single,secondary,no,572.0,yes,no,cellular,5,may,319.3870683134892,1,4,0
159,28,management,single,tertiary,no,145.0,yes,no,cellular,20,apr,,1,0,0
160,31,management,single,tertiary,no,1308.0,no,no,cellular,22,aug,,3,0,0
161,32,management,married,secondary,no,6217.0,yes,yes,sending _document,21,may,377.620537358955,2,0,0
162,28,self-employed,single,tertiary,no,159.0,no,no,cellular,16,nov,206.1484188105525,2,4,1
163,35,blue-collar,divorced,secondary,no,0.0,no,no,cellular,15,jul,112.54911903730061,2,0,0
164,48,blue-collar,married,secondary,no,863.0,yes,no,telephone,4,may,373.8425567232494,5,2,1
165,30,technician,single,secondary,no,-232.0,no,yes,cellular,7,aug,299.5105657419651,2,0,0
166,46,management,married,secondary,no,5127.0,no,no,cellular,6,aug,,1,0,0
167,40,blue-collar,married,secondary,no,4853.0,no,no,cellular,31,jul,179.89827855604784,2,0,0
168,37,blue-collar,married,primary,no,-196.0,yes,no,sending _document,26,may,342.0418183435022,2,0,1
169,54,self-employed,married,tertiary,no,542.0,no,no,telephone,6,feb,344.02173695465746,5,0,1
170,26,blue-collar,married,secondary,no,1702.0,yes,yes,cellular,18,may,320.9390283031503,1,0,0
171,52,services,married,secondary,no,2257.0,yes,no,sending _document,14,may,418.2997244781806,1,0,1
172,67,self-employed,married,tertiary,no,1979.0,no,no,cellular,10,sep,263.2562918539498,2,0,0
173,33,management,divorced,tertiary,no,2240.0,no,no,cellular,3,jun,,1,0,0
174,42,blue-collar,married,primary,no,1687.0,yes,no,cellular,18,may,326.7715064280416,3,3,0
175,56,admin.,married,secondary,no,5310.0,no,no,sending _document,19,jun,314.02442652875084,1,0,1
176,35,management,married,tertiary,no,0.0,yes,no,cellular,16,apr,248.56966074101388,1,0,0
177,38,entrepreneur,married,secondary,no,351.0,yes,no,cellular,4,feb,304.6496759419531,1,3,0
178,33,self-employed,married,tertiary,no,-103.0,yes,no,sending _document,28,may,367.1320800346224,1,0,0
179,30,management,married,tertiary,no,860.0,yes,no,cellular,20,apr,299.5960698077211,1,0,0
180,35,management,single,tertiary,no,2646.0,no,no,cellular,14,apr,188.78755450872188,8,2,1
181,45,technician,married,primary,no,718.0,yes,no,sending _document,14,may,,1,0,1
182,28,blue-collar,single,secondary,no,0.0,yes,no,cellular,8,may,,3,0,1
183,58,admin.,married,unknown,no,5763.0,no,no,cellular,20,nov,303.34301056774075,1,0,0
184,58,technician,married,secondary,no,0.0,yes,no,cellular,15,jul,465.2415946547434,1,0,0
185,27,student,single,secondary,no,217.0,yes,no,sending _document,8,may,258.34901396225536,1,0,0
186,39,blue-collar,married,secondary,no,1508.0,no,no,cellular,23,jul,,1,0,0
187,40,admin.,single,secondary,no,100.0,yes,no,cellular,11,aug,355.9136898382917,1,1,0
188,37,technician,married,secondary,no,1610.0,no,no,sending _document,16,jun,222.5654670512416,2,0,1
189,58,housemaid,married,primary,no,260.0,yes,no,telephone,15,may,462.23600338484204,5,3,1
190,60,retired,single,secondary,no,1625.0,no,no,sending _document,12,jun,,1,0,0
191,48,admin.,married,primary,no,3.0,yes,no,cellular,3,feb,346.25440046451223,1,4,0
192,45,services,married,secondary,no,-3.0,yes,no,sending _document,13,may,291.3124069852228,1,0,0
193,38,admin.,married,primary,no,3.0,yes,yes,sending _document,5,jun,487.2254555772114,2,0,1
194,29,management,single,tertiary,no,573.0,yes,yes,sending _document,16,jun,366.0547070157354,4,0,0
195,39,technician,married,secondary,no,504.0,yes,no,sending _document,12,may,304.8298895372999,1,0,0
196,43,blue-collar,married,unknown,no,1123.0,yes,no,cellular,16,apr,,2,3,1
197,33,technician,married,tertiary,no,980.0,no,no,cellular,12,aug,,2,0,0
198,32,technician,single,secondary,no,0.0,no,no,cellular,20,aug,,4,0,0
199,62,unemployed,married,secondary,no,1625.0,no,no,telephone,23,apr,,1,0,0
200,49,technician,divorced,secondary,no,-39.0,yes,yes,cellular,24,jul,490.0253485917148,3,0,1
201,41,admin.,divorced,secondary,no,-365.0,yes,no,sending _document,28,may,339.1010804571282,10,0,0
202,56,management,married,tertiary,no,1282.0,no,no,cellular,19,aug,,4,0,0
203,39,technician,single,tertiary,no,610.0,no,no,sending _document,20,jun,231.48645588051144,2,0,1
204,50,management,married,tertiary,no,2479.0,no,no,cellular,17,nov,,1,0,0
205,47,unemployed,married,secondary,no,955.0,yes,no,sending _document,13,may,344.9184054196264,1,0,0
206,48,blue-collar,married,secondary,no,1791.0,no,no,cellular,7,aug,,2,0,0
207,42,admin.,single,secondary,no,1601.0,no,no,sending _document,20,jun,,2,0,0
208,59,management,single,tertiary,no,705.0,no,no,cellular,3,feb,277.147771404055,4,0,0
209,45,unemployed,married,secondary,no,2040.0,no,no,telephone,2,feb,,1,0,0
210,46,technician,divorced,tertiary,no,288.0,yes,no,sending _document,9,may,305.8124590796779,1,0,0
211,36,self-employed,single,primary,no,235.0,yes,no,sending _document,29,may,386.3157494921072,9,0,1
212,53,blue-collar,married,secondary,no,21522.0,no,no,sending _document,24,jun,,4,0,0
213,49,blue-collar,married,primary,no,0.0,yes,no,sending _document,6,jun,464.58486214668574,2,0,1
214,33,management,single,secondary,no,20600.0,no,no,cellular,20,nov,,1,0,0
215,27,management,single,tertiary,no,522.0,no,no,cellular,15,jun,,1,0,0
216,34,blue-collar,married,secondary,no,1454.0,yes,no,cellular,11,feb,322.05934669333175,2,2,1
217,55,blue-collar,married,secondary,no,0.0,no,no,sending _document,16,jun,283.7815455512888,3,0,1
218,34,housemaid,married,tertiary,no,1265.0,yes,no,sending _document,6,jun,428.3987439973775,3,0,1
219,30,self-employed,single,tertiary,no,655.0,no,no,cellular,23,sep,185.54202754144833,4,1,1
220,30,services,single,tertiary,no,1788.0,no,no,cellular,4,aug,,1,2,0
221,57,retired,married,secondary,no,703.0,yes,no,sending _document,15,may,467.4873220818589,2,0,0
222,37,management,married,tertiary,no,887.0,no,no,cellular,13,aug,191.713144629103,5,0,1
223,49,housemaid,married,primary,no,0.0,no,no,telephone,9,jul,,1,0,0
224,42,blue-collar,married,secondary,no,3396.0,yes,yes,telephone,20,nov,435.977948108872,4,0,0
225,43,management,married,tertiary,no,68.0,yes,no,cellular,17,nov,353.2424162645949,2,0,0
226,40,management,divorced,tertiary,no,502.0,yes,no,cellular,3,feb,344.75225133384066,4,3,0
227,60,technician,married,secondary,no,955.0,no,no,cellular,18,aug,319.8672182204454,3,0,1
228,70,retired,married,secondary,no,2064.0,no,no,cellular,22,oct,316.6946841981091,1,0,1
229,42,admin.,divorced,secondary,no,-249.0,yes,no,cellular,14,jul,378.0777350850963,3,0,0
230,27,admin.,married,secondary,no,102.0,yes,no,cellular,29,jan,296.1173866381828,2,0,0
231,39,services,married,secondary,no,173.0,yes,no,cellular,18,nov,352.12640288969754,2,2,0
232,43,management,married,tertiary,no,254.0,yes,yes,cellular,15,jul,452.98571538719204,3,0,1
233,53,technician,married,secondary,no,31.0,yes,no,sending _document,16,may,368.7344641511729,2,0,0
234,37,blue-collar,divorced,secondary,no,277.0,no,yes,cellular,8,jul,294.21242294465475,2,0,0
235,57,services,married,secondary,no,504.0,no,no,cellular,8,aug,261.2875861943128,2,0,0
236,43,retired,single,primary,no,140.0,no,yes,telephone,9,jul,233.0063256834096,1,0,0
237,43,technician,married,secondary,no,-705.0,yes,no,cellular,27,aug,323.34620375177354,6,0,0
238,49,blue-collar,married,primary,no,418.0,no,no,cellular,18,aug,230.3975374626084,7,0,0
239,31,admin.,single,secondary,no,430.0,yes,no,cellular,15,apr,,2,0,0
240,28,student,single,secondary,no,0.0,no,no,cellular,18,feb,168.87252642100538,20,0,1
241,29,student,single,secondary,no,658.0,no,no,cellular,15,jul,136.60223495938664,2,4,1
242,36,management,married,tertiary,no,269.0,yes,no,cellular,11,may,281.38270481628587,2,0,0
243,35,technician,married,tertiary,no,22.0,no,no,cellular,11,aug,,1,0,0
244,37,management,married,tertiary,no,21.0,yes,no,sending _document,29,may,305.4759332027835,2,0,0
245,27,services,single,secondary,no,1820.0,yes,no,cellular,17,jul,283.71311326131666,1,0,1
246,30,technician,married,secondary,no,-189.0,no,no,cellular,19,aug,,2,0,0
247,29,management,single,tertiary,no,144.0,yes,no,sending _document,2,jun,262.62835097142164,3,0,0
248,49,management,married,secondary,no,99.0,yes,no,cellular,6,may,,2,1,1
249,47,technician,single,unknown,no,77.0,yes,no,sending _document,9,may,437.24615712423997,4,0,1
250,41,management,single,tertiary,no,8368.0,no,no,sending _document,11,jun,,1,0,0
251,48,management,married,unknown,no,54.0,yes,no,sending _document,16,may,299.6863732524228,7,0,0
252,51,housemaid,married,primary,no,382.0,no,yes,cellular,15,jul,274.84294121735076,3,0,0
253,60,unemployed,divorced,secondary,no,385.0,yes,no,cellular,4,feb,327.8263121589305,1,0,0
254,57,blue-collar,divorced,primary,no,5041.0,yes,no,cellular,16,apr,409.97347716220077,1,1,0
255,28,blue-collar,single,primary,no,0.0,yes,yes,sending _document,3,jun,,4,0,1
256,61,retired,married,tertiary,no,32685.0,no,no,cellular,2,mar,264.2582480423124,2,0,1
257,36,self-employed,married,primary,no,1094.0,yes,no,cellular,8,apr,307.49680154602424,1,1,0
258,22,student,single,secondary,no,254.0,no,no,cellular,13,jan,,2,0,0
259,35,technician,married,secondary,yes,-1322.0,yes,no,cellular,30,jul,,11,0,1
260,34,blue-collar,single,secondary,no,1759.0,no,yes,cellular,25,jul,312.37028510448437,1,0,1
261,48,technician,married,tertiary,no,449.0,yes,no,cellular,17,jul,382.51085439548984,1,0,1
262,33,technician,single,tertiary,no,8097.0,no,yes,cellular,21,aug,222.28572499460861,2,0,0
263,31,management,single,tertiary,no,385.0,yes,no,sending _document,21,may,298.5177291237241,1,0,0
264,26,management,single,tertiary,no,2692.0,no,no,sending _document,28,may,143.51350570174952,2,0,0
265,36,blue-collar,married,secondary,no,139.0,yes,no,sending _document,6,may,,2,0,1
266,39,blue-collar,married,secondary,no,1045.0,yes,yes,cellular,9,jul,362.2577079037368,13,0,0
267,40,services,single,secondary,no,4126.0,no,no,cellular,4,feb,,2,0,0
268,32,management,married,tertiary,no,0.0,no,no,cellular,28,aug,,2,0,0
269,45,blue-collar,married,unknown,no,550.0,no,yes,sending _document,20,jun,270.2860138868492,1,0,0
270,40,management,married,tertiary,no,1217.0,yes,yes,cellular,18,nov,442.26692047655206,1,0,0
271,51,admin.,divorced,secondary,no,-20.0,no,no,sending _document,1,jul,190.05338775938026,1,0,0
272,44,entrepreneur,married,tertiary,no,3463.0,yes,yes,cellular,28,aug,506.0485086739124,3,0,1
273,34,technician,single,tertiary,no,-554.0,yes,yes,cellular,31,jul,,3,0,1
274,45,services,married,secondary,no,-1621.0,yes,yes,cellular,15,may,447.9772202175638,2,5,1
275,40,technician,married,secondary,no,1232.0,no,no,cellular,28,aug,,11,0,0
276,51,management,married,tertiary,no,307.0,yes,no,sending _document,30,may,436.3342272775578,2,0,1
277,57,management,married,secondary,no,7162.0,no,no,cellular,17,nov,215.22729240925398,1,0,0
278,30,blue-collar,single,secondary,no,4.0,no,no,cellular,15,apr,,1,0,0
279,54,self-employed,married,secondary,no,641.0,yes,no,cellular,20,nov,,2,0,1
280,28,admin.,married,secondary,no,0.0,yes,yes,cellular,26,may,325.67723844747076,1,0,0
281,49,housemaid,married,primary,no,3376.0,no,no,sending _document,9,jun,,3,0,0
282,39,technician,married,secondary,no,3494.0,yes,no,cellular,19,nov,333.42112626992855,1,4,0
283,53,technician,married,secondary,no,56.0,yes,yes,sending _document,5,may,449.95406284098317,2,0,0
284,35,self-employed,married,tertiary,no,1178.0,yes,yes,cellular,15,apr,359.18418648939723,2,5,0
285,36,technician,married,tertiary,no,4596.0,yes,no,cellular,16,apr,336.21806300154157,2,0,1
286,40,admin.,single,secondary,no,5061.0,no,yes,cellular,3,feb,256.1232461636511,2,0,0
287,40,blue-collar,married,primary,no,669.0,yes,no,sending _document,26,may,341.1743046351258,3,0,1
288,32,technician,single,secondary,no,284.0,no,no,cellular,29,aug,134.01668558374888,2,0,0
289,35,blue-collar,married,unknown,no,245.0,yes,no,cellular,11,may,255.44346042710353,2,1,0
290,35,blue-collar,divorced,primary,no,-5.0,no,no,sending _document,6,jun,,5,0,0
291,31,services,single,secondary,no,1599.0,no,no,cellular,30,apr,,1,2,0
292,44,management,married,tertiary,no,5282.0,yes,no,sending _document,30,may,,1,0,1
293,34,technician,single,secondary,no,951.0,yes,no,sending _document,21,may,297.6985153251195,1,0,0
294,49,management,married,tertiary,no,-969.0,no,no,cellular,30,jan,307.6571608342467,2,1,0
295,73,retired,married,unknown,no,3443.0,no,no,telephone,4,sep,326.4364044511026,3,0,1
296,38,unemployed,married,primary,no,449.0,yes,no,sending _document,16,may,300.9824554435503,2,0,0
297,56,housemaid,divorced,secondary,no,0.0,no,no,sending _document,15,may,,1,0,0
298,27,admin.,single,tertiary,no,4738.0,no,no,cellular,13,jul,,1,0,0
299,48,blue-collar,married,primary,no,0.0,no,yes,cellular,17,nov,271.45087612519166,1,0,0
300,36,unemployed,divorced,secondary,no,1366.0,no,yes,cellular,2,feb,243.9641621664672,1,0,0
