class,dept_id,sex,score
2,5,0,56.648093999828646
1,4,0,78.604373412448
1,1,0,60.86973945180721
1,1,1,83.38901406696272
0,6,0,54.12713817125439
1,5,0,60.26825441900049
4,3,0,63.07354828459424
0,4,0,77.18874123025881
4,3,0,58.417381507389095
1,0,0,67.20057976277178
4,0,1,66.2862939706391
4,6,0,59.88987929833658
0,2,1,80.32154752545436
3,6,1,76.60130957126393
0,1,1,70.91927912862339
1,4,0,72.98785243225558
4,0,0,74.249180404739
0,4,0,81.57882741978771
2,6,0,78.53964982959094
2,5,0,93.9089009216218
0,0,1,83.494909402235
1,0,0,69.36000700343871
1,2,1,84.05795105636057
3,1,0,53.38864856043931
2,0,0,78.1486815579659
4,6,0,63.11612036185604
1,4,1,76.96393442766262
0,2,1,70.11888477190105
1,3,1,76.66253200550679
3,0,1,67.27846758005349
2,0,1,88.28767253073715
3,0,1,56.89656627076481
0,0,1,77.10302567477815
4,5,1,68.20163127132074
1,6,1,78.20335780212571
0,1,1,73.179900516675
4,2,0,58.33195555408244
3,2,1,87.66233231842227
2,4,0,82.56418092452432
0,6,0,61.871276506144696
1,4,1,73.78993505485597
1,2,0,59.881717871467416
3,2,1,66.56938691597122
1,6,1,55.47161235618838
1,1,1,54.3152402560584
0,0,1,67.15026074403923
0,1,0,60.62413796740013
4,1,1,62.704071311199854
1,4,1,69.12395588975318
1,5,1,78.08965518968566
2,3,1,41.06335899358311
2,4,0,82.22939264980616
1,2,1,71.4132038520297
4,1,1,64.09718927099904
2,4,1,65.25716215542396
3,4,1,70.59833667671512
3,6,1,78.18411560832548
3,1,1,72.18051648555179
2,4,0,65.08713320641897
1,0,1,84.03323986464692
4,0,1,72.66341011632284
1,1,0,59.28990758697178
1,6,1,82.29499002041108
3,1,0,57.68844400012469
1,5,1,73.04896591647051
3,1,1,73.8817658496798
0,2,0,71.93060188185098
1,6,0,81.39679174014252
3,3,0,68.95934608430805
1,2,1,53.56897405178695
1,3,0,60.193552851916934
1,3,0,66.785476576944
2,0,1,72.83074592198491
0,0,1,85.17258071141735
0,3,0,63.71796400000243
1,3,0,65.24161349178888
2,6,1,61.9812449607812
1,6,0,72.16814068471638
0,2,1,70.85942990503688
1,1,1,80.97255479862476
3,3,0,47.07012663524189
2,1,0,74.28728424515191
0,1,0,65.062938885814
0,3,1,70.68718012136229
2,2,0,63.07540273960936
3,1,0,69.24250602263447
4,3,0,60.11999751800416
0,2,1,71.17756133997017
1,2,0,54.20254045964377
0,5,0,50.329154929771434
1,4,0,70.12292536744617
0,1,0,67.12480629769846
1,6,1,51.382855495578355
2,4,1,67.81331089801132
2,0,0,66.50465981066638
3,0,0,66.13600882184424
2,6,1,70.24562728119025
1,2,1,65.88117268180656
1,5,0,58.315320770532
1,2,0,63.37605036684313
1,6,0,76.52268737382526
2,6,1,77.84362565021793
4,1,0,92.26965528494156
3,3,0,77.69331072057456
1,2,1,67.8429016597698
0,6,1,77.12957838950047
2,0,1,76.21668164058873
0,2,0,61.849089474142716
1,4,0,66.69156196201493
2,1,0,71.43517757680509
0,1,0,60.67564837367675
3,5,0,55.777734949983966
1,3,0,74.96145242704573
3,4,1,95.94236313290745
1,6,1,87.62535153651851
4,4,0,77.71564017329987
1,1,1,74.22142917225392
3,6,0,75.58752156531696
2,0,1,73.1863325486092
2,5,0,74.01649419634704
4,5,0,56.68544042803781
4,0,1,61.587140980905616
4,1,0,87.0441175798172
3,6,0,57.25052014695456
3,5,1,75.41738516298881
4,1,1,69.9647818206167
3,0,0,69.27040329844372
2,4,1,70.83999059082373
2,5,0,70.19259331974474
1,4,1,70.47970461396241
1,1,1,85.00782222841906
2,5,0,58.98316430433264
4,4,0,72.9039321469954
1,1,0,73.7074279711142
1,2,0,63.996801370039115
4,2,0,73.14448796931927
0,2,1,67.82745464604038
3,2,0,68.77626897194392
4,6,1,74.39308645964981
2,0,1,77.15920610730518
4,4,0,91.30590353133414
2,6,1,58.81519371339632
3,3,0,58.63196401200706
1,2,1,61.62868314505739
2,3,0,60.920609839527174
3,2,0,67.43169562771865
1,5,0,99.92598011721452
1,3,0,77.17711281183892
2,3,0,67.86236611664236
1,0,1,55.915332410968105
0,3,1,69.59154629782323
1,1,1,54.94025664052428
2,4,0,58.920863597118995
2,3,1,71.06010579190766
3,4,0,55.51223579830525
1,3,0,48.28171180682105
4,6,1,60.13963407205261
1,5,0,61.810453813394055
3,3,1,65.70676349678209
1,0,1,50.67198199437313
3,6,1,67.50060628400823
2,5,1,71.96434469575853
2,5,1,63.38524368045165
4,1,1,62.44820193685141
2,3,1,62.32760752364736
1,2,1,80.09631558948097
4,4,0,81.40646152425607
2,4,1,66.55796751734991
4,0,1,51.09309645354932
2,3,0,65.31148998713584
2,5,0,60.09370484035757
0,3,0,82.35981229206945
3,4,1,75.29977428153711
2,1,1,77.65702915837295
4,6,0,66.28845225230188
0,1,1,59.143315569248685
2,0,1,58.33736070020411
0,2,1,69.56303935348926
4,5,1,77.79950519271645
0,0,1,78.49539178703253
2,4,0,81.55762684294832
2,5,0,67.38756451957298
4,1,0,60.158326647501355
4,1,0,65.35230670761504
3,5,0,72.88021613207908
1,5,0,66.79756218375151
0,5,0,52.36071196357788
2,5,0,78.20155133791819
4,3,0,74.52965708201401
1,6,0,72.09790200480586
0,4,0,78.02871336759544
3,5,0,51.99241243034925
3,6,1,62.297881858798014
2,5,0,76.78853189983714
4,1,1,76.9485599363029
3,2,0,69.95200693918633
0,1,1,83.50223701402045
3,4,1,69.28879571095429
0,0,0,81.49920700806254
3,3,0,49.8120333603113
4,2,0,78.35768977229964
4,2,1,74.3698167545472
1,2,1,80.07411206240155
2,0,1,61.08269052441366
1,0,1,86.53023588753007
3,6,1,71.01846426310749
4,2,1,63.629717063700085
3,1,1,75.34877816882315
0,4,0,91.10941050569193
2,4,1,78.69657553599652
2,4,1,83.87620213874344
2,6,0,62.44907725857107
4,5,0,75.14960855069228
2,2,1,92.80910333087589
3,6,0,50.28539524833384
3,3,0,72.36304586951057
1,4,1,70.37153612692853
4,4,0,74.39341312483526
2,0,0,81.71719481234828
4,6,1,59.21699145230022
1,4,0,65.21337425807879
0,4,1,73.7938551524669
2,4,0,77.87871406044967
2,3,1,73.89619965394955
3,4,0,78.0992848379948
4,1,0,54.04367068430026
2,3,1,74.70587955592582
2,2,0,60.10253355690001
1,3,1,77.74866526731272
