dteday	holiday	weekday	workingday	weather_id	cnt
2011-05-22	0	0	0	1	4660
2011-05-23	0	1	1	2	4274
2011-05-24	0	2	1	2	4492
2011-05-25	0	3	1	1	4978
2011-05-26	0	4	1	1	4677
2011-05-27	0	5	1	1	4679
2011-05-28	0	6	0	1	4758
2011-05-29	0	0	0	1	4788
2011-05-30	1	1	0	1	4098
2011-05-31	0	2	1	1	3982
2011-06-01	0	3	1	2	3974
2011-06-02	0	4	1	1	4968
2011-06-03	0	5	1	1	5312
2011-06-04	0	6	0	1	5342
2011-06-05	0	0	0	2	4906
2011-06-06	0	1	1	1	4548
2011-06-07	0	2	1	1	4833
2011-06-08	0	3	1	1	4401
2011-06-09	0	4	1	2	3915
2011-06-10	0	5	1	1	4586
2011-06-11	0	6	0	1	4966
2011-06-12	0	0	0	1	4460
2011-06-13	0	1	1	1	5020
2011-06-14	0	2	1	1	4891
2011-06-15	0	3	1	1	5180
2011-06-16	0	4	1	2	3767
2011-06-17	0	5	1	1	4844
2011-06-18	0	6	0	1	5119
2011-06-19	0	0	0	2	4744
2011-06-20	0	1	1	2	4010
2011-06-21	0	2	1	2	4835
2011-06-22	0	3	1	1	4507
2011-06-23	0	4	1	2	4790
2011-06-24	0	5	1	1	4991
2011-06-25	0	6	0	1	5202
2011-06-26	0	0	0	1	5305
2011-06-27	0	1	1	2	4708
2011-06-28	0	2	1	1	4648
2011-06-29	0	3	1	1	5225
2011-06-30	0	4	1	1	5515
2011-07-01	0	5	1	1	5362
2011-07-02	0	6	0	1	5119
2011-07-03	0	0	0	2	4649
2011-07-04	1	1	0	2	6043
2011-07-05	0	2	1	1	4665
2011-07-06	0	3	1	1	4629
2011-07-07	0	4	1	1	4592
2011-07-08	0	5	1	2	4040
2011-07-09	0	6	0	1	5336
2011-07-10	0	0	0	1	4881
2011-07-11	0	1	1	1	4086
2011-07-12	0	2	1	1	4258
2011-07-13	0	3	1	1	4342
2011-07-14	0	4	1	1	5084
2011-07-15	0	5	1	1	5538
2011-07-16	0	6	0	1	5923
2011-07-17	0	0	0	1	5302
2011-07-18	0	1	1	1	4458
2011-07-19	0	2	1	1	4541
2011-07-20	0	3	1	1	4332
2011-07-21	0	4	1	2	3784
2011-07-22	0	5	1	1	3387
2011-07-23	0	6	0	1	3285
2011-07-24	0	0	0	1	3606
2011-07-25	0	1	1	1	3840
2011-07-26	0	2	1	1	4590
2011-07-27	0	3	1	1	4656
2011-07-28	0	4	1	1	4390
2011-07-29	0	5	1	1	3846
2011-07-30	0	6	0	1	4475
2011-07-31	0	0	0	1	4302
2011-08-01	0	1	1	1	4266
2011-08-02	0	2	1	1	4845
2011-08-03	0	3	1	2	3574
2011-08-04	0	4	1	2	4576
2011-08-05	0	5	1	1	4866
2011-08-06	0	6	0	2	4294
2011-08-07	0	0	0	1	3785
2011-08-08	0	1	1	1	4326
2011-08-09	0	2	1	1	4602
2011-08-10	0	3	1	1	4780
2011-08-11	0	4	1	1	4792
2011-08-12	0	5	1	1	4905
2011-08-13	0	6	0	2	4150
2011-08-14	0	0	0	2	3820
2011-08-15	0	1	1	1	4338
2011-08-16	0	2	1	1	4725
2011-08-17	0	3	1	1	4694
2011-08-18	0	4	1	1	3805
2011-08-19	0	5	1	2	4153
2011-08-20	0	6	0	1	5191
2011-08-21	0	0	0	1	3873
2011-08-22	0	1	1	1	4758
2011-08-23	0	2	1	1	5895
2011-08-24	0	3	1	1	5130
2011-08-25	0	4	1	2	3542
2011-08-26	0	5	1	1	4661
2011-08-27	0	6	0	2	1115
2011-08-28	0	0	0	1	4334
2011-08-29	0	1	1	1	4634
2011-08-30	0	2	1	1	5204
2011-08-31	0	3	1	1	5058
2011-09-01	0	4	1	1	5115
2011-09-02	0	5	1	2	4727
2011-09-03	0	6	0	1	4484
2011-09-04	0	0	0	1	4940
2011-09-05	1	1	0	2	3351
2011-09-06	0	2	1	3	2710
2011-09-07	0	3	1	3	1996
2011-09-08	0	4	1	3	1842
2011-09-09	0	5	1	2	3544
2011-09-10	0	6	0	1	5345
2011-09-11	0	0	0	1	5046
2011-09-12	0	1	1	1	4713
2011-09-13	0	2	1	1	4763
2011-09-14	0	3	1	1	4785
2011-09-15	0	4	1	2	3659
2011-09-16	0	5	1	2	4760
2011-09-17	0	6	0	2	4511
2011-09-18	0	0	0	1	4274
2011-09-19	0	1	1	2	4539
2011-09-20	0	2	1	2	3641
2011-09-21	0	3	1	2	4352
2011-09-22	0	4	1	2	4795
2011-09-23	0	5	1	2	2395
2011-09-24	0	6	0	2	5423
2011-09-25	0	0	0	2	5010
2011-09-26	0	1	1	2	4630
2011-09-27	0	2	1	2	4120
2011-09-28	0	3	1	2	3907
2011-09-29	0	4	1	1	4839
2011-09-30	0	5	1	1	5202
2011-10-01	0	6	0	2	2429
2011-10-02	0	0	0	2	2918
2011-10-03	0	1	1	2	3570
2011-10-04	0	2	1	1	4456
2011-10-05	0	3	1	1	4826
2011-10-06	0	4	1	1	4765
2011-10-07	0	5	1	1	4985
2011-10-08	0	6	0	1	5409
2011-10-09	0	0	0	1	5511
2011-10-10	1	1	0	1	5117
2011-10-11	0	2	1	2	4563
2011-10-12	0	3	1	3	2416
2011-10-13	0	4	1	2	2913
2011-10-14	0	5	1	2	3644
2011-10-15	0	6	0	1	5217
2011-10-16	0	0	0	1	5041
2011-10-17	0	1	1	1	4570
2011-10-18	0	2	1	2	4748
2011-10-19	0	3	1	3	2424
2011-10-20	0	4	1	1	4195
2011-10-21	0	5	1	1	4304
2011-10-22	0	6	0	1	4308
2011-10-23	0	0	0	1	4381
2011-10-24	0	1	1	1	4187
2011-10-25	0	2	1	1	4687
2011-10-26	0	3	1	2	3894
2011-10-27	0	4	1	2	2659
2011-10-28	0	5	1	2	3747
2011-10-29	0	6	0	3	627
2011-10-30	0	0	0	1	3331
2011-10-31	0	1	1	1	3669
2011-11-01	0	2	1	1	4068
2011-11-02	0	3	1	1	4186
2011-11-03	0	4	1	1	3974
2011-11-04	0	5	1	2	4046
2011-11-05	0	6	0	1	3926
2011-11-06	0	0	0	1	3649
2011-11-07	0	1	1	1	4035
2011-11-08	0	2	1	1	4205
2011-11-09	0	3	1	1	4109
2011-11-10	0	4	1	2	2933
2011-11-11	1	5	0	1	3368
2011-11-12	0	6	0	1	4067
2011-11-13	0	0	0	1	3717
2011-11-14	0	1	1	1	4486
2011-11-15	0	2	1	2	4195
2011-11-16	0	3	1	3	1817
2011-11-17	0	4	1	2	3053
2011-11-18	0	5	1	1	3392
2011-11-19	0	6	0	1	3663
2011-11-20	0	0	0	2	3520
2011-11-21	0	1	1	3	2765
2011-11-22	0	2	1	3	1607
2011-11-23	0	3	1	2	2566
2011-11-24	1	4	0	1	1495
2011-11-25	0	5	1	1	2792
2011-11-26	0	6	0	1	3068
2011-11-27	0	0	0	1	3071
2011-11-28	0	1	1	1	3867
2011-11-29	0	2	1	2	2914
2011-11-30	0	3	1	1	3613
2011-12-01	0	4	1	1	3727
2011-12-02	0	5	1	1	3940
2011-12-03	0	6	0	1	3614
2011-12-04	0	0	0	1	3485
2011-12-05	0	1	1	2	3811
2011-12-06	0	2	1	3	2594
2011-12-07	0	3	1	3	705
2011-12-08	0	4	1	1	3322
2011-12-09	0	5	1	1	3620
2011-12-10	0	6	0	1	3190
2011-12-11	0	0	0	1	2743
2011-12-12	0	1	1	1	3310
2011-12-13	0	2	1	1	3523
2011-12-14	0	3	1	2	3740
2011-12-15	0	4	1	2	3709
2011-12-16	0	5	1	2	3577
2011-12-17	0	6	0	2	2739
2011-12-18	0	0	0	1	2431
2011-12-19	0	1	1	1	3403
2011-12-20	0	2	1	2	3750
2011-12-21	0	3	1	2	2660
2011-12-22	0	4	1	2	3068
2011-12-23	0	5	1	1	2209
2011-12-24	0	6	0	1	1011
2011-12-25	0	0	0	1	754
2011-12-26	1	1	0	1	1317
2011-12-27	0	2	1	2	1162
2011-12-28	0	3	1	1	2302
2011-12-29	0	4	1	1	2423
2011-12-30	0	5	1	1	2999
2011-12-31	0	6	0	1	2485
2012-01-01	0	0	0	1	2294
2012-01-02	1	1	0	1	1951
2012-01-03	0	2	1	1	2236
2012-01-04	0	3	1	2	2368
2012-01-05	0	4	1	1	3272
2012-01-06	0	5	1	1	4098
2012-01-07	0	6	0	1	4521
2012-01-08	0	0	0	1	3425
2012-01-09	0	1	1	2	2376
2012-01-10	0	2	1	1	3598
2012-01-11	0	3	1	2	2177
2012-01-12	0	4	1	2	4097
2012-01-13	0	5	1	1	3214
2012-01-14	0	6	0	1	2493
2012-01-15	0	0	0	1	2311
2012-01-16	1	1	0	1	2298
2012-01-17	0	2	1	2	2935
2012-01-18	0	3	1	1	3376
2012-01-19	0	4	1	1	3292
2012-01-20	0	5	1	2	3163
2012-01-21	0	6	0	2	1301
2012-01-22	0	0	0	2	1977
2012-01-23	0	1	1	2	2432
2012-01-24	0	2	1	1	4339
2012-01-25	0	3	1	1	4270
2012-01-26	0	4	1	2	4075
2012-01-27	0	5	1	2	3456
2012-01-28	0	6	0	1	4023
2012-01-29	0	0	0	1	3243
2012-01-30	0	1	1	1	3624
2012-01-31	0	2	1	1	4509
2012-02-01	0	3	1	1	4579
2012-02-02	0	4	1	2	3761
2012-02-03	0	5	1	1	4151
2012-02-04	0	6	0	2	2832
2012-02-05	0	0	0	2	2947
2012-02-06	0	1	1	1	3784
2012-02-07	0	2	1	1	4375
2012-02-08	0	3	1	2	2802
2012-02-09	0	4	1	1	3830
2012-02-10	0	5	1	2	3831
2012-02-11	0	6	0	3	2169
2012-02-12	0	0	0	1	1529
2012-02-13	0	1	1	1	3422
2012-02-14	0	2	1	2	3922
2012-02-15	0	3	1	1	4169
2012-02-16	0	4	1	2	3005
2012-02-17	0	5	1	1	4154
2012-02-18	0	6	0	1	4318
2012-02-19	0	0	0	2	2689
2012-02-20	1	1	0	1	3129
2012-02-21	0	2	1	1	3777
2012-02-22	0	3	1	1	4773
2012-02-23	0	4	1	1	5062
2012-02-24	0	5	1	2	3487
2012-02-25	0	6	0	1	2732
2012-02-26	0	0	0	1	3389
2012-02-27	0	1	1	1	4322
2012-02-28	0	2	1	1	4363
2012-02-29	0	3	1	2	1834
2012-03-01	0	4	1	1	4990
2012-03-02	0	5	1	2	3194
2012-03-03	0	6	0	2	4066
2012-03-04	0	0	0	1	3423
2012-03-05	0	1	1	1	3333
2012-03-06	0	2	1	1	3956
2012-03-07	0	3	1	1	4916
2012-03-08	0	4	1	1	5382
2012-03-09	0	5	1	2	4569
2012-03-10	0	6	0	1	4118
2012-03-11	0	0	0	1	4911
2012-03-12	0	1	1	1	5298
2012-03-13	0	2	1	1	5847
2012-03-14	0	3	1	1	6312
2012-03-15	0	4	1	1	6192
2012-03-16	0	5	1	2	4378
2012-03-17	0	6	0	2	7836
2012-03-18	0	0	0	2	5892
2012-03-19	0	1	1	1	6153
2012-03-20	0	2	1	1	6093
2012-03-21	0	3	1	2	6230
2012-03-22	0	4	1	1	6871
2012-03-23	0	5	1	2	8362
2012-03-24	0	6	0	2	3372
2012-03-25	0	0	0	2	4996
2012-03-26	0	1	1	1	5558
2012-03-27	0	2	1	1	5102
2012-03-28	0	3	1	1	5698
2012-03-29	0	4	1	1	6133
2012-03-30	0	5	1	2	5459
2012-03-31	0	6	0	2	6235
2012-04-01	0	0	0	2	6041
2012-04-02	0	1	1	1	5936
2012-04-03	0	2	1	1	6772
2012-04-04	0	3	1	1	6436
2012-04-05	0	4	1	1	6457
2012-04-06	0	5	1	1	6460
2012-04-07	0	6	0	1	6857
2012-04-08	0	0	0	1	5169
2012-04-09	0	1	1	1	5585
2012-04-10	0	2	1	1	5918
2012-04-11	0	3	1	1	4862
2012-04-12	0	4	1	1	5409
2012-04-13	0	5	1	1	6398
2012-04-14	0	6	0	1	7460
2012-04-15	0	0	0	1	7132
2012-04-16	1	1	0	1	6370
2012-04-17	0	2	1	1	6691
2012-04-18	0	3	1	2	4367
2012-04-19	0	4	1	1	6565
2012-04-20	0	5	1	1	7290
2012-04-21	0	6	0	1	6624
2012-04-22	0	0	0	3	1027
2012-04-23	0	1	1	2	3214
2012-04-24	0	2	1	1	5633
2012-04-25	0	3	1	1	6196
2012-04-26	0	4	1	2	5026
2012-04-27	0	5	1	1	6233
2012-04-28	0	6	0	2	4220
2012-04-29	0	0	0	1	6304
2012-04-30	0	1	1	2	5572
2012-05-01	0	2	1	2	5740
2012-05-02	0	3	1	1	6169
2012-05-03	0	4	1	2	6421
2012-05-04	0	5	1	1	6296
2012-05-05	0	6	0	2	6883
2012-05-06	0	0	0	2	6359
2012-05-07	0	1	1	2	6273
2012-05-08	0	2	1	2	5728
2012-05-09	0	3	1	2	4717
2012-05-10	0	4	1	1	6572
2012-05-11	0	5	1	1	7030
2012-05-12	0	6	0	1	7429
2012-05-13	0	0	0	1	6118
2012-05-14	0	1	1	2	2843
2012-05-15	0	2	1	2	5115
2012-05-16	0	3	1	1	7424
2012-05-17	0	4	1	1	7384
2012-05-18	0	5	1	1	7639
2012-05-19	0	6	0	1	8294
2012-05-20	0	0	0	1	7129
2012-05-21	0	1	1	2	4359
2012-05-22	0	2	1	2	6073
2012-05-23	0	3	1	2	5260
2012-05-24	0	4	1	1	6770
2012-05-25	0	5	1	1	6734
2012-05-26	0	6	0	1	6536
2012-05-27	0	0	0	1	6591
2012-05-28	1	1	0	1	6043
2012-05-29	0	2	1	1	5743
2012-05-30	0	3	1	2	6855
2012-05-31	0	4	1	1	7338
2012-06-01	0	5	1	2	4127
2012-06-02	0	6	0	1	8120
2012-06-03	0	0	0	1	7641
2012-06-04	0	1	1	1	6998
2012-06-05	0	2	1	2	7001
2012-06-06	0	3	1	1	7055
2012-06-07	0	4	1	1	7494
2012-06-08	0	5	1	1	7736
2012-06-09	0	6	0	1	7498
2012-06-10	0	0	0	1	6598
2012-06-11	0	1	1	2	6664
2012-06-12	0	2	1	2	4972
2012-06-13	0	3	1	1	7421
2012-06-14	0	4	1	1	7363
2012-06-15	0	5	1	1	7665
2012-06-16	0	6	0	1	7702
2012-06-17	0	0	0	1	6978
2012-06-18	0	1	1	2	5099
2012-06-19	0	2	1	1	6825
2012-06-20	0	3	1	1	6211
2012-06-21	0	4	1	1	5905
2012-06-22	0	5	1	1	5823
2012-06-23	0	6	0	1	7458
2012-06-24	0	0	0	1	6891
2012-06-25	0	1	1	1	6779
2012-06-26	0	2	1	1	7442
2012-06-27	0	3	1	1	7335
2012-06-28	0	4	1	1	6879
2012-06-29	0	5	1	1	5463
2012-06-30	0	6	0	1	5687
2012-07-01	0	0	0	1	5531
2012-07-02	0	1	1	1	6227
2012-07-03	0	2	1	1	6660
2012-07-04	1	3	0	1	7403
2012-07-05	0	4	1	1	6241
2012-07-06	0	5	1	1	6207
2012-07-07	0	6	0	1	4840
2012-07-08	0	0	0	1	4672
2012-07-09	0	1	1	2	6569
2012-07-10	0	2	1	2	6290
2012-07-11	0	3	1	1	7264
2012-07-12	0	4	1	1	7446
2012-07-13	0	5	1	2	7499
2012-07-14	0	6	0	2	6969
2012-07-15	0	0	0	1	6031
2012-07-16	0	1	1	1	6830
2012-07-17	0	2	1	1	6786
2012-07-18	0	3	1	1	5713
2012-07-19	0	4	1	1	6591
2012-07-20	0	5	1	2	5870
2012-07-21	0	6	0	3	4459
2012-07-22	0	0	0	2	7410
2012-07-23	0	1	1	1	6966
2012-07-24	0	2	1	1	7592
2012-07-25	0	3	1	1	8173
2012-07-26	0	4	1	1	6861
2012-07-27	0	5	1	1	6904
2012-07-28	0	6	0	1	6685
2012-07-29	0	0	0	1	6597
2012-07-30	0	1	1	1	7105
2012-07-31	0	2	1	1	7216
2012-08-01	0	3	1	1	7580
2012-08-02	0	4	1	1	7261
2012-08-03	0	5	1	2	7175
2012-08-04	0	6	0	1	6824
2012-08-05	0	0	0	1	5464
2012-08-06	0	1	1	2	7013
2012-08-07	0	2	1	2	7273
2012-08-08	0	3	1	2	7534
2012-08-09	0	4	1	1	7286
2012-08-10	0	5	1	2	5786
2012-08-11	0	6	0	2	6299
2012-08-12	0	0	0	1	6544
2012-08-13	0	1	1	1	6883
2012-08-14	0	2	1	1	6784
2012-08-15	0	3	1	1	7347
2012-08-16	0	4	1	1	7605
2012-08-17	0	5	1	1	7148
2012-08-18	0	6	0	1	7865
2012-08-19	0	0	0	2	4549
2012-08-20	0	1	1	2	6530
2012-08-21	0	2	1	1	7006
2012-08-22	0	3	1	1	7375
2012-08-23	0	4	1	1	7765
2012-08-24	0	5	1	2	7582
2012-08-25	0	6	0	2	6053
2012-08-26	0	0	0	2	5255
2012-08-27	0	1	1	1	6917
2012-08-28	0	2	1	1	7040
2012-08-29	0	3	1	1	7697
2012-08-30	0	4	1	1	7713
2012-08-31	0	5	1	1	7350
2012-09-01	0	6	0	2	6140
2012-09-02	0	0	0	2	5810
2012-09-03	1	1	0	1	6034
2012-09-04	0	2	1	1	6864
2012-09-05	0	3	1	1	7112
2012-09-06	0	4	1	2	6203
2012-09-07	0	5	1	1	7504
2012-09-08	0	6	0	2	5976
2012-09-09	0	0	0	1	8227
2012-09-10	0	1	1	1	7525
2012-09-11	0	2	1	1	7767
2012-09-12	0	3	1	1	7870
2012-09-13	0	4	1	1	7804
2012-09-14	0	5	1	1	8009
2012-09-15	0	6	0	1	8714
2012-09-16	0	0	0	1	7333
2012-09-17	0	1	1	2	6869
2012-09-18	0	2	1	2	4073
2012-09-19	0	3	1	1	7591
2012-09-20	0	4	1	1	7720
2012-09-21	0	5	1	1	8167
2012-09-22	0	6	0	1	8395
2012-09-23	0	0	0	1	7907
2012-09-24	0	1	1	1	7436
2012-09-25	0	2	1	1	7538
2012-09-26	0	3	1	1	7733
2012-09-27	0	4	1	2	7393
2012-09-28	0	5	1	2	7415
2012-09-29	0	6	0	1	8555
2012-09-30	0	0	0	1	6889
2012-10-01	0	1	1	2	6778
2012-10-02	0	2	1	3	4639
2012-10-03	0	3	1	2	7572
2012-10-04	0	4	1	2	7328
2012-10-05	0	5	1	1	8156
2012-10-06	0	6	0	1	7965
2012-10-07	0	0	0	2	3510
2012-10-08	1	1	0	2	5478
2012-10-09	0	2	1	2	6392
2012-10-10	0	3	1	1	7691
2012-10-11	0	4	1	1	7570
2012-10-12	0	5	1	1	7282
2012-10-13	0	6	0	1	7109
2012-10-14	0	0	0	1	6639
2012-10-15	0	1	1	2	5875
2012-10-16	0	2	1	1	7534
2012-10-17	0	3	1	1	7461
2012-10-18	0	4	1	2	7509
2012-10-19	0	5	1	2	5424
2012-10-20	0	6	0	1	8090
2012-10-21	0	0	0	1	6824
2012-10-22	0	1	1	1	7058
2012-10-23	0	2	1	1	7466
2012-10-24	0	3	1	1	7693
2012-10-25	0	4	1	2	7359
2012-10-26	0	5	1	2	7444
2012-10-27	0	6	0	2	7852
2012-10-28	0	0	0	2	4459
2012-10-29	0	1	1	3	22
2012-10-30	0	2	1	2	1096
2012-10-31	0	3	1	2	5566
2012-11-01	0	4	1	2	5986
2012-11-02	0	5	1	1	5847
2012-11-03	0	6	0	2	5138
2012-11-04	0	0	0	1	5107
2012-11-05	0	1	1	1	5259
2012-11-06	0	2	1	1	5686
2012-11-07	0	3	1	2	5035
2012-11-08	0	4	1	1	5315
2012-11-09	0	5	1	1	5992
2012-11-10	0	6	0	1	6536
2012-11-11	0	0	0	1	6852
2012-11-12	1	1	0	1	6269
2012-11-13	0	2	1	2	4094
2012-11-14	0	3	1	1	5495
2012-11-15	0	4	1	2	5445
2012-11-16	0	5	1	1	5698
2012-11-17	0	6	0	1	5629
2012-11-18	0	0	0	1	4669
2012-11-19	0	1	1	2	5499
2012-11-20	0	2	1	2	5634
2012-11-21	0	3	1	1	5146
2012-11-22	1	4	0	1	2425
2012-11-23	0	5	1	1	3910
2012-11-24	0	6	0	1	2277
2012-11-25	0	0	0	1	2424
2012-11-26	0	1	1	1	5087
2012-11-27	0	2	1	2	3959
2012-11-28	0	3	1	1	5260
2012-11-29	0	4	1	1	5323
2012-11-30	0	5	1	1	5668
2012-12-01	0	6	0	2	5191
2012-12-02	0	0	0	2	4649
2012-12-03	0	1	1	1	6234
2012-12-04	0	2	1	1	6606
2012-12-05	0	3	1	1	5729
2012-12-06	0	4	1	1	5375
2012-12-07	0	5	1	2	5008
2012-12-08	0	6	0	2	5582
2012-12-09	0	0	0	2	3228
2012-12-10	0	1	1	2	5170
2012-12-11	0	2	1	2	5501
2012-12-12	0	3	1	2	5319
2012-12-13	0	4	1	1	5532
2012-12-14	0	5	1	1	5611
2012-12-15	0	6	0	1	5047
2012-12-16	0	0	0	2	3786
2012-12-17	0	1	1	2	4585
2012-12-18	0	2	1	1	5557
2012-12-19	0	3	1	1	5267
2012-12-20	0	4	1	2	4128
2012-12-21	0	5	1	2	3623
2012-12-22	0	6	0	1	1749
2012-12-23	0	0	0	1	1787
2012-12-24	0	1	1	2	920
2012-12-25	1	2	0	2	1013
2012-12-26	0	3	1	3	441
2012-12-27	0	4	1	2	2114
2012-12-28	0	5	1	2	3095
2012-12-29	0	6	0	2	1341
2012-12-30	0	0	0	1	1796
2012-12-31	0	1	1	2	2729
