cd,churn,Order_Quantity,Diff_Order_Quantity,Sales_Visit,Diff_Sales_Visit
615946113,0,58909,65,13,-1
845672114,0,51000,49,19,-3
567807115,0,449000,42,35,4
857092116,0,93500,-45,24,-4
453022117,0,127500,78,71,5
618903118,0,13500,-44,90,5
487047119,0,248500,-11,109,-4
640251120,0,106000,79,29,-1
382791121,0,29500,42,22,4
293571122,0,18667,-59,22,5
121216123,0,288000,20,54,-3
372781124,0,69500,15,36,-2
685988125,0,60000,-44,22,-3
395888126,0,123500,62,16,5
313101127,0,135000,-82,17,-2
811344128,0,61800,-23,13,1
682087129,0,51750,-32,23,-2
307931130,0,82000,-43,14,-3
697774131,0,37500,-40,22,-3
837286132,0,24000,29,23,-4
363453133,0,45333,-26,13,-3
730217134,0,361000,-37,38,-1
500499135,0,22000,74,53,5
481476136,0,43500,-82,19,-2
717145137,0,55500,-86,16,-5
160000138,0,67500,-98,22,-1
664466139,0,86727,-16,34,0
264436140,0,139636,-60,17,0
114388141,0,158500,-59,40,2
554334142,0,62667,-23,41,-2
530828143,0,168000,66,21,3
411596144,0,85000,-85,26,-3
451278145,0,131500,-56,51,4
246685146,0,178000,30,65,2
584157147,0,138500,89,41,4
246126148,0,74000,-100,33,0
711285149,0,37000,-42,21,1
327501150,0,15429,-77,15,4
564203151,0,69000,74,28,4
485372152,0,137500,16,43,-3
331170153,0,6000,100,16,4
557653154,0,225000,-9,45,-4
492572155,0,95000,35,28,5
131801156,0,34000,-60,16,4
794303157,0,10000,-47,36,-4
368412158,0,30545,-21,16,3
743570159,0,57000,-27,15,-2
531742160,0,34500,38,17,-2
574935161,0,42000,-59,30,-3
747691162,0,37800,-4,32,5
817140163,0,165500,48,30,0
496718164,0,41455,36,41,3
599100165,0,157000,-60,21,-2
574184166,0,89500,-25,34,-2
323698167,0,462000,-55,30,3
516946168,0,79091,-17,58,-5
471886169,0,30667,13,25,-3
841805170,0,27000,79,16,-1
823529171,0,126000,52,24,1
721034172,0,167000,95,15,5
467762173,0,36000,-47,21,1
670690174,0,36000,-99,16,4
107257175,0,41333,41,19,0
740200176,0,91500,-2,18,5
691654177,0,148000,28,30,-2
313114178,0,241500,98,20,5
224624179,0,18000,-24,39,-4
137306180,0,83500,-82,14,5
305200181,0,55500,-6,23,3
701285182,0,25091,-96,13,-3
135519183,0,30545,-18,16,3
630791184,0,19714,39,34,0
378909185,0,100909,88,14,-2
792309186,0,299000,-76,37,3
512544187,0,43200,57,34,-2
600072188,0,36000,-37,69,4
407057189,0,17143,-89,17,1
570830190,0,185000,-88,29,-2
625035191,0,13000,35,40,4
823818192,0,204500,-18,33,-5
264170193,0,190000,76,19,3
275490194,0,38182,-12,20,3
543210195,0,12000,32,28,5
191964196,0,85500,82,30,3
266602197,0,226500,-88,34,0
709437198,0,114000,-95,61,4
896486199,0,136500,-90,43,4
122404200,0,136000,-5,26,-5
586546201,0,93500,28,16,1
148607202,0,236000,79,48,3
719489203,0,11000,-23,22,-4
624811204,0,27333,-16,55,3
625216205,0,55200,-6,59,-4
732250206,0,100000,-60,53,3
548546207,0,46286,-88,40,-5
239099208,0,61500,65,19,3
387259209,0,99000,-58,25,-4
678189210,0,131455,-50,32,3
809946211,0,116500,61,33,4
102556212,0,121000,77,94,-4
226080213,0,28500,-18,35,2
534366214,0,127091,-57,72,-2
280384215,0,72000,93,65,-5
771690216,0,86000,-83,32,-4
842301217,0,46800,100,15,0
859553218,0,6000,60,26,1
558029219,0,23000,29,24,0
702096220,0,199500,-52,44,-3
583751221,0,58500,39,35,4
290877222,0,48000,55,27,-2
344578223,0,24500,-17,21,4
443287224,0,123600,-40,21,0
190390225,0,56727,-27,37,1
201473226,0,30000,-16,30,5
225653227,0,16000,-39,26,-3
889784228,0,115000,-39,46,-5
445349229,0,31091,-81,14,4
311143230,0,69600,-78,15,-5
592622231,0,37091,-53,15,-2
582024232,0,290500,79,19,-3
415621233,0,88500,87,14,-4
155904234,0,117600,67,35,5
795265235,0,18667,33,15,-4
202832236,0,9750,-52,21,5
408611237,0,78000,3,86,3
454319238,0,76364,20,36,-3
505831239,0,32667,-39,68,2
270704240,0,159000,-11,14,1
666410241,0,624000,79,107,4
401616242,0,77250,-70,75,5
748100243,0,180000,-9,15,-4
736864244,0,74000,-20,38,-5
788386245,0,21818,55,36,-3
699639246,0,19200,10,24,-1
378646247,0,55636,-67,13,-3
558034248,0,38400,-34,15,-1
590800249,0,68000,-50,34,5
526132250,0,28500,-86,18,1
649936251,0,18000,-55,41,2
554538252,0,177000,58,36,2
608038253,0,53500,82,23,-1
773412254,0,152500,70,19,2
354215255,0,153000,-10,22,0
379804256,0,146000,72,26,3
821623257,0,140000,2,15,-4
558292258,0,81273,72,19,-4
809225259,0,46500,20,49,-5
860156260,0,58800,9,68,0
760080261,0,28800,-52,33,-3
585405262,0,76800,0,23,3
319158263,0,165000,-92,78,-2
772058264,0,135000,-81,33,-5
286274265,0,108000,-18,66,5
157410266,0,163000,-77,27,-1
557614267,0,193500,-99,31,2
323515268,0,175000,-19,30,2
604737269,0,69000,-22,32,-4
569692270,0,16000,25,16,-1
732264271,0,174500,-83,15,-2
760161272,0,34000,-63,46,-5
139688273,0,97500,9,17,-5
316836274,0,29000,-87,14,4
404064275,0,70500,23,18,3
201728276,0,181000,-54,18,-1
226912277,0,57000,79,33,-2
540809278,0,31500,73,18,4
505092279,0,27600,-63,14,1
326121280,0,27500,-94,29,5
478626281,0,57000,-86,15,4
390460282,0,14400,-82,18,1
249913283,0,76000,64,23,-1
738421284,0,54000,-7,20,0
474986285,0,40364,-15,18,-4
552436286,0,218000,-97,34,1
667520287,0,83500,-17,42,-2
237105288,0,151000,100,13,4
411920289,0,185000,6,17,3
759115290,0,127500,98,28,5
139419291,0,142500,-14,20,3
573468292,0,123500,-87,16,3
110269293,0,42000,-21,61,0
879706294,0,65500,11,66,5
223158295,0,89455,77,56,-5
739622296,0,25200,-70,27,3
332738297,0,27273,-61,15,3
702475298,0,90000,-59,50,4
566291299,0,24600,-94,31,1
540200300,0,107500,-90,71,-2
827253301,0,100500,44,31,-1
824572302,0,54545,33,52,-4
779890303,0,93500,0,23,0
829790304,0,24000,53,20,-1
485839305,0,15500,-68,21,-4
789391306,0,46000,30,20,0
406406307,0,85000,-90,27,3
334330308,0,195000,-8,23,3
326607309,0,211500,-29,13,0
780143310,0,263500,57,21,5
589920311,0,74400,-94,15,2
602966312,0,273273,22,41,-5
798902313,0,50500,2,56,-4
781238314,0,77500,70,51,-1
380661315,0,264000,-4,22,-3
349453316,0,63000,-40,19,1
551501317,0,90000,65,32,0
200943318,0,76000,-92,24,4
495113319,0,188000,-54,20,-2
833260320,0,214000,-74,17,2
161486321,0,135000,-56,29,1
187476322,0,69000,25,20,-4
885206323,0,69000,-26,24,1
856139324,0,52800,37,21,2
756617325,0,96750,-30,50,-4
841774326,0,52000,2,42,-4
739670327,0,43000,26,17,-5
655102328,0,175000,23,27,-4
159981329,0,28000,-74,36,-4
896557330,0,97333,-82,22,2
233387331,0,84667,-50,58,-4
138820332,0,75500,-78,39,-5
455225333,0,34667,-42,23,0
691927334,0,78000,-66,29,3
246677335,0,22500,18,22,-3
716067336,0,211000,-87,16,4
312000337,0,301000,75,50,5
773052338,0,58500,-62,19,3
166712339,0,67500,-27,19,1
444070340,0,25000,81,43,-3
606590341,0,199500,-15,19,4
499507342,0,22909,27,18,1
390381343,0,92000,-84,22,4
169310344,0,215500,39,24,-5
530670345,0,83000,-39,41,-3
584192346,0,19000,9,22,4
376793347,0,322000,-50,90,0
213016348,0,32400,-81,32,-3
770069349,0,157000,48,22,2
243906350,0,44667,85,18,5
307113351,0,23000,-99,17,0
266084352,0,111500,-58,21,4
598891353,0,192000,94,17,2
544385354,0,61200,-35,16,1
492116355,0,18000,10,14,2
494045356,0,201500,12,22,5
267969357,0,60500,27,15,5
488555358,0,118500,73,37,1
322834359,0,49636,1,14,4
875251360,0,42545,-31,34,1
899418361,0,88000,-89,18,4
353531362,0,148500,-36,33,-2
489978363,0,60000,-3,15,2
703442364,0,92400,-39,31,1
425199365,0,115500,-78,38,3
769382366,0,146000,-81,21,1
495198367,0,44500,-16,26,-3
760161368,0,54545,-4,21,-3
595541369,0,102000,22,21,4
158501370,0,26250,37,13,-1
374191371,0,42000,-23,13,2
164879372,0,190000,-36,36,-4
480776373,0,22000,2,19,3
417262374,0,116500,84,28,-3
652434375,0,62500,13,28,5
556437376,0,71500,-9,77,2
174299377,0,56727,33,27,0
657952378,0,106909,86,46,1
824465379,0,70500,-3,14,-4
784703380,0,186500,-57,30,-4
500413381,0,130500,-100,25,4
301345382,0,69600,1,31,-2
454097383,0,177500,4,27,0
433309384,0,13800,51,42,-4
812376385,0,18000,85,29,5
868631386,0,12750,-96,31,-4
266289387,0,60000,35,31,1
731995388,0,79500,16,45,0
888656389,0,188000,93,47,0
543987390,0,143500,53,30,5
374375391,0,24500,-59,18,-2
160979392,0,79000,54,29,4
541841393,0,13500,52,28,-4
364475394,0,148000,94,65,-2
516947395,0,165500,-3,22,2
337648396,0,63500,64,24,5
624217397,0,107500,-29,15,-4
344267398,0,194500,-88,42,5
320524399,0,14250,-21,15,1
790566400,0,94364,-71,49,2
541373401,0,62000,5,28,-3
232485402,0,31200,22,37,1
500077403,0,148000,-99,31,0
676414404,0,92000,-37,84,-1
436685405,0,74500,63,35,0
607221406,0,47500,33,18,0
542900407,0,19200,14,13,1
370555408,0,99500,-21,13,1
841003409,0,37500,-92,18,-5
200939410,0,16800,86,18,-4
770372411,0,26000,-56,13,1
693540412,0,85000,-6,24,3
546838413,0,42000,-92,13,1
722351414,0,195000,49,13,0
144670415,0,74182,36,13,4
306858416,0,64500,27,39,2
391363417,0,50000,90,22,2
617086418,0,89500,3,14,4
704201419,0,84000,39,64,1
640852420,0,45000,53,17,2
314888421,0,41400,-29,27,-5
375008422,0,116000,-41,18,-2
285343423,0,76909,-17,19,-1
582684424,0,33818,-50,14,-5
502516425,0,42000,80,26,0
470361426,0,49000,-49,21,0
149184427,0,40909,36,53,5
891514428,0,24000,95,17,5
696225429,0,56500,75,30,-4
289007430,0,64500,28,42,3
245279431,0,39273,-100,15,-4
167115432,0,347000,-22,72,1
450780433,0,77500,77,29,0
745285434,0,154000,17,54,-3
535460435,0,33000,71,13,-5
660110436,1,18000,-238,1,-10
309300437,1,12000,-341,11,1
647045438,1,102000,-221,17,0
715316439,1,6000,-968,9,-4
376606440,1,12000,-686,6,-8
463784441,1,18000,-757,7,-3
424116442,1,156000,-546,7,-7
884434443,1,12000,-373,10,-6
565614444,1,36000,-797,11,-2
169713445,1,24000,2,8,-6
393005446,1,66000,-358,12,0
412525447,1,6000,-967,8,0
742414448,1,12000,-175,0,-3
623065449,1,6000,-184,3,0
754283450,1,30000,-862,7,-1
556337451,1,42000,-569,18,-3
869484452,1,24000,-744,5,-6
740748453,1,36000,-514,13,-1
613392454,1,6000,-747,1,-2
538225455,1,6000,-610,3,-2
477655456,1,24000,-83,18,-10
885977457,1,30000,-364,9,-10
491041458,1,18000,-248,2,-9
394987459,1,66000,-855,6,1
324635460,1,24000,-285,8,-8
259247461,1,6000,-862,0,1
122750462,1,6000,-112,0,-10
499501463,1,18000,-652,5,-10
644680464,1,6000,-581,0,-4
474083465,1,36000,-557,0,-6
275417466,1,6000,-807,0,-6
449201467,1,12000,-19,15,-9
472968468,1,12000,-50,2,-10
424375469,1,42000,-23,17,-3
246986470,1,18000,-434,9,1
646638471,1,6000,-751,0,-7
852398472,1,30000,-340,4,-8
537645473,1,54000,-890,2,-6
638915474,1,30000,-164,3,-5
683414475,1,132000,-606,7,-5
389389476,1,54000,-35,0,-3
782039477,1,18000,-391,8,-3
372074478,1,6000,-890,4,-9
877528479,1,96000,-419,7,-5
728490480,1,6000,-283,6,-4
874325481,1,18000,-385,8,1
658730482,1,96000,-226,5,1
456545483,1,60000,-176,1,-1
412867484,1,18000,-867,5,-4
805812485,1,18000,-237,11,-6
556349486,1,42000,-984,15,-6
325072487,1,60000,-275,2,1
390882488,1,6000,-292,6,-5
128890489,1,12000,-957,12,-6
836639490,1,30000,-114,4,-8
178675491,1,24000,-303,0,-10
582697492,1,18000,-365,0,-6
335824493,1,24000,-666,0,-5
710536494,1,72000,-729,0,-10
581396495,1,12000,-891,8,1
490242496,1,6000,-908,3,-9
330672497,1,18000,-696,5,-3
583873498,1,6000,-666,9,-7
646981499,1,24000,-181,0,-7
410552500,1,6000,-293,5,-6
693498501,1,6000,-256,3,-3
605673502,1,42000,-814,12,-7
848039503,1,24000,-108,5,1
257604504,1,36000,-294,9,-7
825972505,1,60000,-110,0,0
805722506,1,72000,-201,20,-7
291365507,1,18000,-629,13,-9
761813508,1,54000,-177,0,-5
345057509,1,36000,-582,0,-1
344159510,1,24000,-47,0,-3
601288511,1,12000,-768,0,-9
630977512,1,18000,-837,2,-5
765895513,1,18000,-610,1,-2
688180514,1,48000,-95,5,-9
653606515,1,12000,-820,4,-3
342156516,1,24000,-862,2,-2
723109517,1,6000,-13,1,-9
823296518,1,18000,-342,2,-6
355580519,1,12000,-660,0,-2
545269520,1,78000,-846,15,0
738715521,1,12000,-217,2,-10
223642522,1,12000,-83,4,-6
853177523,1,24000,-446,5,-6
671365524,1,30000,-930,4,1
264963525,1,6000,-119,6,-9
324483526,1,6000,-983,4,-5
733337527,1,12000,-301,2,-2
165875528,1,6000,-472,0,0
153392529,1,6000,-712,0,-2
860862530,1,18000,-126,7,-1
519577531,1,24000,-143,3,-4
434944532,1,60000,-571,2,-5
554546533,1,6000,-629,0,0
331714534,1,18000,-125,0,-8
744524535,1,12000,-667,2,-7
559644536,1,24000,-514,13,-4
177227537,1,6000,-862,1,-5
530202538,1,12000,-982,12,-9
827536539,1,48000,7,0,-6
415345540,1,48000,-514,0,-3
535430541,1,18000,-985,0,-2
443262542,1,6000,-456,3,0
202828543,1,66000,-127,14,-1
536163544,1,12000,-552,3,1
279998545,1,6000,-560,1,-7
242832546,1,12000,-932,12,-9
575054547,1,54000,-323,1,-6
375113548,1,66000,-303,12,-4
779954549,1,12000,-863,6,-2
398249550,1,54000,-553,13,-6
352983551,1,6000,-766,6,-8
264543552,1,30000,-885,4,-4
803882553,1,18000,-710,10,-9
535526554,1,6000,-769,11,-9
698825555,1,6000,-771,5,-2
445794556,1,24000,-358,4,-9
636723557,1,42000,-234,10,-8
344332558,1,12000,-611,15,1
643487559,1,6000,-637,13,-9
173411560,1,18000,-66,5,-6
378289561,1,6000,-825,1,0
865318562,1,24000,-516,7,0
445095563,1,24000,-467,17,-9
166776564,1,36000,-298,1,-7
771846565,1,36000,-557,10,-6
131227566,1,18000,-266,2,-8
739020567,1,6000,-188,10,-10
255341568,1,24000,-406,0,0
310989569,1,6000,-498,0,-3
890687570,1,6000,-890,3,-2
841261571,1,12000,-671,3,0
596806572,1,6000,-31,6,-1
564119573,1,6000,-81,4,-5
802078574,1,36000,-697,3,0
838700575,1,12000,-964,4,-4
620366576,1,12000,-955,13,-6
665063577,1,18000,-354,1,-6
824528578,1,6000,-4,3,-3
865597579,1,6000,-543,4,-7
819491580,1,12000,-160,0,0
700143581,1,18000,-164,4,0
387051582,1,60000,-481,10,-8
273133583,1,54000,-956,1,-1
695984584,1,12000,-582,1,-6
