Week,Sales,TVCM,Newspaper,Web
2017/6/25,3031551,804600,504300,188700
2017/7/2,2343019,0,0,250500
2017/7/9,1692090,0,0,216700
2017/7/16,1630286,0,0,214400
2017/7/23,1092874,0,0,0
2017/7/30,1683346,0,0,197000
2017/8/6,2123843,0,336800,217200
2017/8/13,1648730,0,0,189500
2017/8/20,1655210,0,0,198000
2017/8/27,2357989,1260500,423000,0
2017/9/3,2378599,0,563400,0
2017/9/10,1768338,0,628700,0
2017/9/17,1689241,0,0,197000
2017/9/24,1704927,0,603300,0
2017/10/1,3003950,1169800,497700,219500
2017/10/8,2376053,0,0,164500
2017/10/15,2178385,0,361000,200200
2017/10/22,1757678,0,0,187400
2017/10/29,2082327,0,561000,160600
2017/11/5,1698304,0,0,193400
2017/11/12,1599017,0,0,172400
2017/11/19,1659629,0,0,207700
2017/11/26,1645090,0,0,200600
2017/12/3,1632064,0,421700,0
2017/12/10,2775132,745100,537900,182600
2017/12/17,2235497,0,0,223200
2017/12/24,2355288,1170000,0,203900
2017/12/31,2263218,0,0,203700
2018/1/7,1820752,0,0,213400
2018/1/14,2408346,889800,0,164600
2018/1/21,2388086,0,681000,0
2018/1/28,2538116,1273800,0,178000
2018/2/4,2354137,0,307800,212900
2018/2/11,2992642,1359800,504300,207000
2018/2/18,2395535,0,0,183100
2018/2/25,2318015,0,452700,213600
2018/3/4,1240282,0,0,0
2018/3/11,2413907,927500,433300,0
2018/3/18,2916278,0,502600,224300
2018/3/25,2270016,0,431700,182900
2018/4/1,1211192,0,0,0
2018/4/8,2865511,1122800,408000,181800
2018/4/15,2450340,1291000,0,210200
2018/4/22,1758274,0,0,0
2018/4/29,2218871,0,498900,184400
2018/5/6,1944485,953700,0,0
2018/5/13,2220064,0,0,208600
2018/5/20,2436114,852500,0,190100
2018/5/27,2692543,0,454800,247000
2018/6/3,2399788,849100,0,204700
2018/6/10,2444746,1410900,629400,0
2018/6/17,3090421,1032400,575000,192000
2018/6/24,2490090,0,0,233100
2018/7/1,1386091,0,0,0
2018/7/8,2226622,0,505600,206600
2018/7/15,2224806,0,559800,205100
2018/7/22,2218379,0,657200,210800
2018/7/29,1542358,0,0,181200
2018/8/5,2849346,1021800,489600,205100
2018/8/12,2281713,0,568700,0
2018/8/19,2847523,862500,246200,218600
2018/8/26,1749675,0,0,0
2018/9/2,1144353,0,0,0
2018/9/9,1633538,0,0,201900
2018/9/16,1134950,0,0,0
2018/9/23,2103922,0,401000,201900
2018/9/30,2894939,1183400,446400,207900
2018/10/7,2315287,0,0,232300
2018/10/14,2487638,1188900,0,202500
2018/10/21,2553530,801100,769600,0
2018/10/28,2439306,0,517200,0
2018/11/4,1247467,0,0,0
2018/11/11,1599535,0,0,166300
2018/11/18,2077089,0,386300,193000
2018/11/25,1062567,0,0,0
2018/12/2,2119981,0,576000,193700
2018/12/9,1644227,0,0,198900
2018/12/16,1618060,0,603500,0
2018/12/23,1618333,0,0,182300
2018/12/30,1615685,0,0,191200
2019/1/6,1617723,0,0,212500
2019/1/13,1645017,0,0,236500
2019/1/20,1672956,0,0,201400
2019/1/27,2108031,0,420300,204400
2019/2/3,2282692,0,623800,200000
2019/2/10,2990301,1225600,630800,198400
2019/2/17,2490399,1098900,0,177900
2019/2/24,2907965,0,381500,187800
2019/3/3,1754424,0,312200,0
2019/3/10,2190466,0,451400,164000
2019/3/17,1698445,0,0,219500
2019/3/24,2947756,1274700,566400,234900
2019/3/31,2779963,0,622900,191100
2019/4/7,2540223,1302600,0,179600
2019/4/14,2827915,0,613600,167800
2019/4/21,1846345,0,0,209700
2019/4/28,1673048,0,0,187700
2019/5/5,1649849,0,0,181900
2019/5/12,1659259,0,444000,0
2019/5/19,2100621,0,482300,182900
2019/5/26,1615128,0,0,162500
2019/6/2,2140945,0,558100,224300
2019/6/9,2177800,0,628400,189700
2019/6/16,2409295,836300,0,199200
2019/6/23,2293571,0,0,211400
2019/6/30,1786559,0,289800,177400
2019/7/7,2313694,566400,0,182200
2019/7/14,2351292,1057500,0,223100
2019/7/21,2280754,0,0,185700
2019/7/28,2233780,0,383200,209500
2019/8/4,2138341,0,406100,174800
2019/8/11,1841650,911700,0,0
2019/8/18,2511298,1360900,0,217800
2019/8/25,2418540,734000,0,203300
2019/9/1,2564349,948100,0,200400
2019/9/8,2911728,0,516100,157800
2019/9/15,2531299,720400,0,225600
2019/9/22,2287479,0,437700,0
2019/9/29,1675670,0,0,169200
2019/10/6,2982165,1142800,433800,231700
2019/10/13,2729420,0,487500,190000
2019/10/20,1797391,0,0,177600
2019/10/27,1569993,0,0,175200
2019/11/3,1221933,0,0,0
2019/11/10,1639426,0,0,192800
2019/11/17,2085071,0,386300,173700
2019/11/24,1086821,0,0,0
2019/12/1,2083404,0,516700,166800
2019/12/8,1638062,0,0,206600
2019/12/15,1643600,0,664500,0
2019/12/22,1634904,0,0,197600
