No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place
82,2025/4/29,3449,3,4,4,9
83,2025/4/30,5323,5,3,2,3
84,2025/5/1,8968,8,9,6,8
85,2025/5/2,2948,2,9,4,8
86,2025/5/5,8391,8,3,9,1
87,2025/5/6,0081,0,0,8,1
88,2025/5/7,1952,1,9,5,2
89,2025/5/8,8156,8,1,5,6
90,2025/5/9,1883,1,8,8,3
91,2025/5/12,8892,8,8,9,2
92,2025/5/13,9565,9,5,6,5
93,2025/5/14,1898,1,8,9,8
94,2025/5/15,4368,4,3,6,8
95,2025/5/16,4116,4,1,1,6
96,2025/5/19,9601,9,6,0,1
97,2025/5/20,6418,6,4,1,8
98,2025/5/21,2762,2,7,6,2
99,2025/5/22,9899,9,8,9,9
100,2025/5/23,2718,2,7,1,8
101,2025/5/26,9115,9,1,1,5
102,2025/5/27,3697,3,6,9,7
103,2025/5/28,7357,7,3,5,7
104,2025/5/29,6779,6,7,7,9
105,2025/5/30,7141,7,1,7,1
106,2025/6/2,2839,2,8,3,9
107,2025/6/3,2370,2,3,7,0
108,2025/6/4,5944,5,9,4,4
109,2025/6/5,9318,9,3,1,8
110,2025/6/6,6563,6,5,6,3
111,2025/6/9,5084,5,0,8,4
112,2025/6/10,3142,3,1,4,2
113,2025/6/11,3176,3,1,7,6
114,2025/6/12,7666,7,6,6,6
115,2025/6/13,2482,2,4,8,2
116,2025/6/16,6326,6,3,2,6
117,2025/6/17,0975,0,9,7,5
118,2025/6/18,7592,7,5,9,2
119,2025/6/19,5354,5,3,5,4
120,2025/6/20,7102,7,1,0,2
121,2025/6/23,4804,4,8,0,4
122,2025/6/24,1351,1,3,5,1
123,2025/6/25,8174,8,1,7,4
124,2025/6/26,8622,8,6,2,2
125,2025/6/27,2940,2,9,4,0
126,2025/6/30,6757,6,7,5,7
127,2025/7/1,5261,5,2,6,1
128,2025/7/2,3099,3,0,9,9
129,2025/7/3,1479,1,4,7,9
130,2025/7/4,2452,2,4,5,2
131,2025/7/7,9181,9,1,8,1
132,2025/7/8,2982,2,9,8,2
133,2025/7/9,5358,5,3,5,8
134,2025/7/10,4790,4,7,9,0
135,2025/7/11,0172,0,1,7,2
136,2025/7/14,5295,5,2,9,5
137,2025/7/15,5552,5,5,5,2
138,2025/7/16,2037,2,0,3,7
139,2025/7/17,2337,2,3,3,7
140,2025/7/18,2460,2,4,6,0
141,2025/7/21,7780,7,7,8,0
142,2025/7/22,8714,8,7,1,4
143,2025/7/23,5493,5,4,9,3
144,2025/7/24,7924,7,9,2,4
145,2025/7/25,5454,5,4,5,4
146,2025/7/28,6710,6,7,1,0
147,2025/7/29,1592,1,5,9,2
148,2025/7/30,3175,3,1,7,5
149,2025/7/31,0536,0,5,3,6
150,2025/8/1,3497,3,4,9,7
151,2025/8/4,3080,3,0,8,0
152,2025/8/5,1027,1,0,2,7
153,2025/8/6,4876,4,8,7,6
154,2025/8/7,5835,5,8,3,5
154,2025/8/8,1365,1,3,6,5
155,2025/8/11,6014,6,0,1,4
156,2025/8/12,2458,2,4,5,8
157,2025/8/13,5541,5,5,4,1
158,2025/8/14,6362,6,3,6,2
159,2025/8/15,5140,5,1,4,0
160,2025/8/18,9959,9,9,5,9
161,2025/8/19,9288,9,2,8,8
162,2025/8/20,8749,8,7,4,9
163,2025/8/21,5806,5,8,0,6
164,2025/8/22,9660,9,6,6,0
167,2025/8/25,9463,9,4,6,3
168,2025/8/26,1624,1,6,2,4
169,2025/8/27,6694,6,6,9,4
170,2025/8/28,0774,0,7,7,4
171,2025/8/29,1929,1,9,2,9
172,2025/9/1,0549,0,5,4,9
173,2025/9/2,0538,0,5,3,8
174,2025/9/3,4598,4,5,9,8
175,2025/9/4,3376,3,3,7,6
176,2025/9/5,1871,1,8,7,1
177,2025/9/8,2841,2,8,4,1
178,2025/9/9,5260,5,2,6,0
179,2025/9/10,2679,2,6,7,9
180,2025/9/11,7961,7,9,6,1
181,2025/9/12,8991,8,9,9,1
182,2025/9/15,6867,6,8,6,7
183,2025/9/16,1314,1,3,1,4
184,2025/9/17,7604,7,6,0,4
185,2025/9/18,6152,6,1,5,2
186,2025/9/19,8721,8,7,2,1
187,2025/9/22,5808,5,8,0,8
188,2025/9/23,4787,4,7,8,7
189,2025/9/24,2477,2,4,7,7
190,2025/9/25,7728,7,7,2,8
191,2025/9/26,1540,1,5,4,0
192,2025/9/29,0012,0,0,1,2
193,2025/9/30,7765,7,7,6,5
194,2025/10/1,5280,5,2,8,0
195,2025/10/2,1916,1,9,1,6
196,2025/10/3,2964,2,9,6,4
197,2025/10/6,0933,0,9,3,3
198,2025/10/7,7717,7,7,1,7
199,2025/10/8,0220,0,2,2,0
200,2025/10/9,6352,6,3,5,2
201,2025/10/10,3148,3,1,4,8
202,2025/10/13,6896,6,8,9,6
203,2025/10/14,4706,4,7,0,6
204,2025/10/15,1350,1,3,5,0
205,2025/10/16,4325,4,3,2,5
206,2025/10/17,5441,5,4,4,1
207,2025/10/20,0100,0,1,0,0
208,2025/10/21,8607,8,6,0,7
209,2025/10/22,2326,2,3,2,6
210,2025/10/23,8612,8,6,1,2
211,2025/10/24,4591,4,5,9,1
212,2025/10/27,0523,0,5,2,3
213,2025/10/28,0017,0,0,1,7
214,2025/10/29,4714,4,7,1,4
215,2025/10/30,8726,8,7,2,6
216,2025/10/31,0137,0,1,3,7
217,2025/11/3,9275,9,2,7,5
218,2025/11/4,9227,9,2,2,7
219,2025/11/5,5282,5,2,8,2
220,2025/11/6,2981,2,9,8,1
221,2025/11/7,3049,3,0,4,9
222,2025/11/10,6727,6,7,2,7
223,2025/11/11,3403,3,4,0,3
224,2025/11/12,2123,2,1,2,3
225,2025/11/13,9991,9,9,9,1
226,2025/11/14,3116,3,1,1,6
227,2025/11/17,1184,1,1,8,4
228,2025/11/18,6444,6,4,4,4
229,2025/11/19,5186,5,1,8,6
230,2025/11/20,4693,4,6,9,3
231,2025/11/21,9741,9,7,4,1
232,2025/11/24,1258,1,2,5,8
233,2025/11/25,5445,5,4,4,5
234,2025/11/26,3324,3,3,2,4
235,2025/11/27,2803,2,8,0,3
236,2025/11/28,3076,3,0,7,6
237,2025/12/1,5396,5,3,9,6
238,2025/12/2,6936,6,9,3,6
239,2025/12/3,7263,7,2,6,3
240,2025/12/4,5571,5,5,7,1
241,2025/12/5,4784,4,7,8,4
242,2025/12/8,3493,3,4,9,3
243,2025/12/9,3123,3,1,2,3
244,2025/12/10,5272,5,2,7,2
245,2025/12/11,2208,2,2,0,8
246,2025/12/12,2528,2,5,2,8
247,2025/12/15,7221,7,2,2,1
248,2025/12/16,2310,2,3,1,0
249,2025/12/17,0497,0,4,9,7
250,2025/12/18,5879,5,8,7,9
251,2025/12/19,4944,4,9,4,4
252,2025/12/22,9785,9,7,8,5
253,2025/12/23,3278,3,2,7,8
254,2025/12/24,3984,3,9,8,4
255,2025/12/25,6333,6,3,3,3
256,2025/12/26,4141,4,1,4,1
257,2025/12/29,2121,2,1,2,1
258,2025/12/30,7202,7,2,0,2
