No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place
180,2023/9/12,1108,1,1,0,8
181,2023/9/13,6372,6,3,7,2
182,2023/9/14,0402,0,4,0,2
183,2023/9/15,7219,7,2,1,9
184,2023/9/18,8587,8,5,8,7
185,2023/9/19,3914,3,9,1,4
186,2023/9/20,0003,0,0,0,3
187,2023/9/21,3400,3,4,0,0
188,2023/9/22,7384,7,3,8,4
189,2023/9/25,5563,5,5,6,3
190,2023/9/26,2668,2,6,6,8
191,2023/9/27,5367,5,3,6,7
192,2023/9/28,5662,5,6,6,2
193,2023/9/29,8286,8,2,8,6
194,2023/10/2,6183,6,1,8,3
195,2023/10/3,5384,5,3,8,4
196,2023/10/4,2959,2,9,5,9
197,2023/10/5,8461,8,4,6,1
198,2023/10/6,8305,8,3,0,5
199,2023/10/9,6283,6,2,8,3
200,2023/10/10,5048,5,0,4,8
201,2023/10/11,6301,6,3,0,1
202,2023/10/12,2277,2,2,7,7
203,2023/10/13,5997,5,9,9,7
204,2023/10/16,9304,9,3,0,4
205,2023/10/17,7379,7,3,7,9
206,2023/10/18,1598,1,5,9,8
207,2023/10/19,2762,2,7,6,2
208,2023/10/20,3302,3,3,0,2
209,2023/10/23,8282,8,2,8,2
210,2023/10/24,3461,3,4,6,1
211,2023/10/25,7059,7,0,5,9
212,2023/10/26,1954,1,9,5,4
213,2023/10/27,1763,1,7,6,3
214,2023/10/30,1487,1,4,8,7
215,2023/10/31,0945,0,9,4,5
216,2023/11/1,0469,0,4,6,9
217,2023/11/2,3388,3,3,8,8
218,2023/11/3,5764,5,7,6,4
219,2023/11/6,3933,3,9,3,3
220,2023/11/7,3861,3,8,6,1
221,2023/11/8,1559,1,5,5,9
222,2023/11/9,0231,0,2,3,1
223,2023/11/10,7197,7,1,9,7
224,2023/11/13,6154,6,1,5,4
225,2023/11/14,7277,7,2,7,7
226,2023/11/15,6562,6,5,6,2
227,2023/11/16,3989,3,9,8,9
228,2023/11/17,2111,2,1,1,1
229,2023/11/20,8867,8,8,6,7
230,2023/11/21,2930,2,9,3,0
231,2023/11/22,6977,6,9,7,7
232,2023/11/23,1239,1,2,3,9
233,2023/11/24,9198,9,1,9,8
234,2023/11/27,0271,0,2,7,1
235,2023/11/28,4077,4,0,7,7
236,2023/11/29,2317,2,3,1,7
237,2023/11/30,1184,1,1,8,4
238,2023/12/1,5892,5,8,9,2
239,2023/12/4,7648,7,6,4,8
240,2023/12/5,1304,1,3,0,4
241,2023/12/6,5235,5,2,3,5
242,2023/12/7,6529,6,5,2,9
243,2023/12/8,5751,5,7,5,1
244,2023/12/11,3872,3,8,7,2
245,2023/12/12,0959,0,9,5,9
246,2023/12/13,2487,2,4,8,7
247,2023/12/14,1228,1,2,2,8
248,2023/12/15,8284,8,2,8,4
249,2023/12/18,9116,9,1,1,6
250,2023/12/19,8696,8,6,9,6
251,2023/12/20,6147,6,1,4,7
252,2023/12/21,2870,2,8,7,0
253,2023/12/22,2986,2,9,8,6
254,2023/12/25,9134,9,1,3,4
255,2023/12/26,2473,2,4,7,3
256,2023/12/27,0942,0,9,4,2
257,2023/12/28,8104,8,1,0,4
258,2023/12/29,0377,0,3,7,7
