No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place
96,2022/5/20,2334,2,3,3,4
97,2022/5/23,6801,6,8,0,1
98,2022/5/24,7574,7,5,7,4
99,2022/5/25,6575,6,5,7,5
100,2022/5/26,5128,5,1,2,8
101,2022/5/27,5393,5,3,9,3
102,2022/5/30,1590,1,5,9,0
103,2022/5/31,4058,4,0,5,8
104,2022/6/1,6357,6,3,5,7
105,2022/6/2,1312,1,3,1,2
106,2022/6/3,9919,9,9,1,9
107,2022/6/6,3197,3,1,9,7
108,2022/6/7,1198,1,1,9,8
109,2022/6/8,4185,4,1,8,5
110,2022/6/9,7363,7,3,6,3
111,2022/6/10,5808,5,8,0,8
112,2022/6/13,9366,9,3,6,6
113,2022/6/14,6840,6,8,4,0
114,2022/6/15,7968,7,9,6,8
115,2022/6/16,5302,5,3,0,2
116,2022/6/17,6092,6,0,9,2
117,2022/6/20,1099,1,0,9,9
118,2022/6/21,3256,3,2,5,6
119,2022/6/22,7523,7,5,2,3
120,2022/6/23,2057,2,0,5,7
121,2022/6/24,0433,0,4,3,3
122,2022/6/27,7335,7,3,3,5
123,2022/6/28,9210,9,2,1,0
124,2022/6/29,2350,2,3,5,0
125,2022/6/30,4841,4,8,4,1
126,2022/7/1,9771,9,7,7,1
127,2022/7/4,1921,1,9,2,1
128,2022/7/5,0440,0,4,4,0
129,2022/7/6,7677,7,6,7,7
130,2022/7/7,8336,8,3,3,6
131,2022/7/8,8209,8,2,0,9
132,2022/7/11,6903,6,9,0,3
133,2022/7/12,3726,3,7,2,6
134,2022/7/13,0679,0,6,7,9
135,2022/7/14,0791,0,7,9,1
136,2022/7/15,1656,1,6,5,6
137,2022/7/18,8136,8,1,3,6
138,2022/7/19,7140,7,1,4,0
139,2022/7/20,3078,3,0,7,8
140,2022/7/21,6990,6,9,9,0
141,2022/7/22,4306,4,3,0,6
142,2022/7/25,1540,1,5,4,0
143,2022/7/26,9062,9,0,6,2
144,2022/7/27,8645,8,6,4,5
145,2022/7/28,4398,4,3,9,8
146,2022/7/29,5125,5,1,2,5
147,2022/8/1,6787,6,7,8,7
148,2022/8/2,6791,6,7,9,1
149,2022/8/3,7453,7,4,5,3
150,2022/8/4,2057,2,0,5,7
151,2022/8/5,6771,6,7,7,1
152,2022/8/8,8394,8,3,9,4
153,2022/8/9,1932,1,9,3,2
154,2022/8/10,2490,2,4,9,0
155,2022/8/11,9779,9,7,7,9
156,2022/8/12,9750,9,7,5,0
157,2022/8/15,6554,6,5,5,4
158,2022/8/16,6802,6,8,0,2
159,2022/8/17,7148,7,1,4,8
160,2022/8/18,1278,1,2,7,8
161,2022/8/19,4238,4,2,3,8
162,2022/8/22,0591,0,5,9,1
163,2022/8/23,6743,6,7,4,3
164,2022/8/24,2673,2,6,7,3
165,2022/8/25,5460,5,4,6,0
166,2022/8/26,8841,8,8,4,1
167,2022/8/29,4284,4,2,8,4
168,2022/8/30,4674,4,6,7,4
169,2022/8/31,6933,6,9,3,3
170,2022/9/1,4074,4,0,7,4
171,2022/9/2,8530,8,5,3,0
172,2022/9/5,7105,7,1,0,5
173,2022/9/6,4798,4,7,9,8
174,2022/9/7,0306,0,3,0,6
175,2022/9/8,3703,3,7,0,3
176,2022/9/9,8149,8,1,4,9
177,2022/9/12,6679,6,6,7,9
178,2022/9/13,8222,8,2,2,2
179,2022/9/14,1777,1,7,7,7
180,2022/9/15,2808,2,8,0,8
181,2022/9/16,5200,5,2,0,0
182,2022/9/19,7306,7,3,0,6
183,2022/9/20,8103,8,1,0,3
184,2022/9/21,6872,6,8,7,2
185,2022/9/22,8399,8,3,9,9
186,2022/9/23,0758,0,7,5,8
187,2022/9/26,2299,2,2,9,9
188,2022/9/27,6959,6,9,5,9
189,2022/9/28,6473,6,4,7,3
190,2022/9/29,9861,9,8,6,1
191,2022/9/30,2017,2,0,1,7
192,2022/10/3,2608,2,6,0,8
193,2022/10/4,0980,0,9,8,0
194,2022/10/5,9843,9,8,4,3
195,2022/10/6,8540,8,5,4,0
196,2022/10/7,1020,1,0,2,0
197,2022/10/10,0918,0,9,1,8
198,2022/10/11,1313,1,3,1,3
199,2022/10/12,7601,7,6,0,1
200,2022/10/13,0434,0,4,3,4
201,2022/10/14,2754,2,7,5,4
202,2022/10/17,3745,3,7,4,5
203,2022/10/18,5845,5,8,4,5
204,2022/10/19,5513,5,5,1,3
205,2022/10/20,2675,2,6,7,5
206,2022/10/21,3540,3,5,4,0
207,2022/10/24,6058,6,0,5,8
208,2022/10/25,8712,8,7,1,2
209,2022/10/26,1082,1,0,8,2
210,2022/10/27,6152,6,1,5,2
211,2022/10/28,9937,9,9,3,7
212,2022/10/31,6102,6,1,0,2
213,2022/11/1,3563,3,5,6,3
214,2022/11/2,2016,2,0,1,6
215,2022/11/3,2566,2,5,6,6
216,2022/11/4,0776,0,7,7,6
217,2022/11/7,4992,4,9,9,2
218,2022/11/8,9055,9,0,5,5
219,2022/11/9,3018,3,0,1,8
220,2022/11/10,3790,3,7,9,0
221,2022/11/11,7535,7,5,3,5
222,2022/11/14,4940,4,9,4,0
223,2022/11/15,2782,2,7,8,2
224,2022/11/16,9285,9,2,8,5
225,2022/11/17,0556,0,5,5,6
226,2022/11/18,4549,4,5,4,9
227,2022/11/21,4431,4,4,3,1
228,2022/11/22,4967,4,9,6,7
229,2022/11/23,3862,3,8,6,2
230,2022/11/24,6349,6,3,4,9
231,2022/11/25,2818,2,8,1,8
232,2022/11/28,8297,8,2,9,7
233,2022/11/29,3207,3,2,0,7
234,2022/11/30,0017,0,0,1,7
235,2022/12/1,0473,0,4,7,3
236,2022/12/2,5756,5,7,5,6
237,2022/12/5,8455,8,4,5,5
238,2022/12/6,5542,5,5,4,2
239,2022/12/7,5763,5,7,6,3
240,2022/12/8,7353,7,3,5,3
241,2022/12/9,5486,5,4,8,6
242,2022/12/12,5641,5,6,4,1
243,2022/12/13,1500,1,5,0,0
244,2022/12/14,5369,5,3,6,9
245,2022/12/15,3692,3,6,9,2
246,2022/12/16,9428,9,4,2,8
247,2022/12/19,9184,9,1,8,4
248,2022/12/20,9853,9,8,5,3
249,2022/12/21,3522,3,5,2,2
250,2022/12/22,7879,7,8,7,9
251,2022/12/23,6694,6,6,9,4
252,2022/12/26,3898,3,8,9,8
253,2022/12/27,2131,2,1,3,1
254,2022/12/28,5953,5,9,5,3
255,2022/12/29,0335,0,3,3,5
256,2022/12/30,2572,2,5,7,2
