No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place,Next_result
14,2020-01-23,2309,2,3,0,9,4531
15,2020-01-24,4531,4,5,3,1,480
16,2020-01-27,480,0,4,8,0,7411
17,2020-01-28,7411,7,4,1,1,9231
18,2020-01-29,9231,9,2,3,1,6087
19,2020-01-30,6087,6,0,8,7,6448
20,2020-01-31,6448,6,4,4,8,3954
21,2020-02-03,3954,3,9,5,4,6887
22,2020-02-04,6887,6,8,8,7,966
23,2020-02-05,966,0,9,6,6,4770
24,2020-02-06,4770,4,7,7,0,9167
25,2020-02-07,9167,9,1,6,7,2108
26,2020-02-10,2108,2,1,0,8,762
27,2020-02-11,762,0,7,6,2,1768
28,2020-02-12,1768,1,7,6,8,9550
29,2020-02-13,9550,9,5,5,0,3711
30,2020-02-14,3711,3,7,1,1,6476
31,2020-02-17,6476,6,4,7,6,2840
32,2020-02-18,2840,2,8,4,0,2808
33,2020-02-19,2808,2,8,0,8,5857
34,2020-02-20,5857,5,8,5,7,1913
35,2020-02-21,1913,1,9,1,3,9958
36,2020-02-24,9958,9,9,5,8,9209
37,2020-02-25,9209,9,2,0,9,978
38,2020-02-26,978,0,9,7,8,4752
39,2020-02-27,4752,4,7,5,2,8713
40,2020-02-28,8713,8,7,1,3,8836
41,2020-03-02,8836,8,8,3,6,335
42,2020-03-03,335,0,3,3,5,8687
43,2020-03-04,8687,8,6,8,7,9217
44,2020-03-05,9217,9,2,1,7,2207
45,2020-03-06,2207,2,2,0,7,1775
46,2020-03-09,1775,1,7,7,5,425
47,2020-03-10,425,0,4,2,5,773
48,2020-03-11,773,0,7,7,3,9447
49,2020-03-12,9447,9,4,4,7,5706
50,2020-03-13,5706,5,7,0,6,3983
51,2020-03-16,3983,3,9,8,3,4477
52,2020-03-17,4477,4,4,7,7,4097
53,2020-03-18,4097,4,0,9,7,7214
54,2020-03-19,7214,7,2,1,4,5351
55,2020-03-20,5351,5,3,5,1,3012
56,2020-03-23,3012,3,0,1,2,6240
57,2020-03-24,6240,6,2,4,0,2973
58,2020-03-25,2973,2,9,7,3,5141
59,2020-03-26,5141,5,1,4,1,2598
60,2020-03-27,2598,2,5,9,8,4906
61,2020-03-30,4906,4,9,0,6,9561
62,2020-03-31,9561,9,5,6,1,4717
63,2020-04-01,4717,4,7,1,7,4489
64,2020-04-02,4489,4,4,8,9,8864
65,2020-04-03,8864,8,8,6,4,7838
66,2020-04-06,7838,7,8,3,8,7034
67,2020-04-07,7034,7,0,3,4,1092
68,2020-04-08,1092,1,0,9,2,7573
69,2020-04-09,7573,7,5,7,3,2175
70,2020-04-10,2175,2,1,7,5,4803
71,2020-04-13,4803,4,8,0,3,4017
72,2020-04-14,4017,4,0,1,7,2861
73,2020-04-15,2861,2,8,6,1,7072
74,2020-04-16,7072,7,0,7,2,5078
75,2020-04-17,5078,5,0,7,8,9836
76,2020-04-20,9836,9,8,3,6,426
77,2020-04-21,426,0,4,2,6,2402
78,2020-04-22,2402,2,4,0,2,2929
79,2020-04-23,2929,2,9,2,9,1429
80,2020-04-24,1429,1,4,2,9,8886
81,2020-04-27,8886,8,8,8,6,4893
82,2020-04-28,4893,4,8,9,3,7278
83,2020-04-29,7278,7,2,7,8,8472
84,2020-04-30,8472,8,4,7,2,3775
85,2020-05-01,3775,3,7,7,5,29
86,2020-05-04,29,0,0,2,9,828
87,2020-05-05,828,0,8,2,8,1149
88,2020-05-06,1149,1,1,4,9,491
89,2020-05-07,491,0,4,9,1,3417
90,2020-05-08,3417,3,4,1,7,4430
91,2020-05-11,4430,4,4,3,0,2116
92,2020-05-12,2116,2,1,1,6,9011
93,2020-05-13,9011,9,0,1,1,7471
94,2020-05-14,7471,7,4,7,1,6531
95,2020-05-15,6531,6,5,3,1,6845
96,2020-05-18,6845,6,8,4,5,2369
